,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Argentina,99.00
1,,Australia,119.77
2,,Austria,123.46
3,,Belgium,123.46
4,,Bosnia And Herzegovina,86.42
5,,Brazil,181.01
6,,Bulgaria,104.39
7,,Canada,90.74
8,,Chile,77.50
9,,China,131.84
10,,Colombia,84.50
11,,Croatia,92.49
12,,Czech Republic,70.29
13,,Denmark,123.97
14,,Ecuador,100.00
15,,Egypt,92.50
16,,Estonia,78.90
17,,Finland,123.46
18,,France,102.06
19,,Germany,84.41
20,,Greece,108.02
21,,Hong Kong,66.62
22,,Hungary,48.58
23,,India,63.14
24,,Indonesia,83.47
25,,Iran,60.00
26,,Ireland,98.35
27,,Israel,154.00
28,,Italy,127.41
29,,Japan,72.20
30,,Jordan,100.00
31,,Kazakhstan,100.00
32,,Lithuania,107.27
33,,Malaysia,62.88
34,,Malta,61.73
35,,Mexico,78.27
36,,Morocco,222.22
37,,Netherlands,135.80
38,,New Zealand,107.47
39,,Norway,122.10
40,,Pakistan,24.00
41,,Panama,45.00
42,,Philippines,88.46
43,,Poland,86.97
44,,Portugal,83.33
45,,Puerto Rico,59.33
46,,Qatar,-
47,,Romania,91.43
48,,Russia,138.90
49,,Saudi Arabia,95.00
50,,Serbia,115.74
51,,Singapore,86.25
52,,Slovakia,86.42
53,,Slovenia,80.25
54,,South Africa,110.42
55,,South Korea,52.50
56,,Spain,91.71
57,,Sweden,93.80
58,,Switzerland,123.28
59,,Syria,145.00
60,,Taiwan,66.50
61,,Thailand,56.53
62,,Turkey,68.79
63,,Ukraine,80.00
64,,United Arab Emirates,82.50
65,,United Kingdom,79.71
66,,United States,73.83
67,,Vietnam,23.00
