,Rank,City,Local Cheese (1kg)
0,,Albania,5.27
1,,Algeria,7.15
2,,Argentina,7.29
3,,Armenia,4.87
4,,Australia,6.63
5,,Austria,12.62
6,,Azerbaijan,3.36
7,,Bahamas,-
8,,Bahrain,6.54
9,,Bangladesh,6.26
10,,Belarus,5.84
11,,Belgium,15.01
12,,Belize,4.63
13,,Bolivia,-
14,,Bosnia And Herzegovina,5.54
15,,Brazil,6.71
16,,Bulgaria,6.12
17,,Cambodia,-
18,,Canada,10.19
19,,Chile,10.26
20,,China,12.47
21,,Colombia,3.24
22,,Costa Rica,5.74
23,,Croatia,9.12
24,,Cyprus,9.64
25,,Czech Republic,8.67
26,,Denmark,11.75
27,,Dominican Republic,7.27
28,,Ecuador,6.27
29,,Egypt,2.81
30,,El Salvador,-
31,,Estonia,7.56
32,,Fiji,-
33,,Finland,7.49
34,,France,17.27
35,,Georgia,4.14
36,,Germany,10.48
37,,Ghana,-
38,,Greece,9.35
39,,Guatemala,-
40,,Hong Kong,23.35
41,,Hungary,6.46
42,,Iceland,16.46
43,,India,5.15
44,,Indonesia,7.24
45,,Iran,4.53
46,,Iraq,5.05
47,,Ireland,9.62
48,,Israel,12.97
49,,Italy,13.46
50,,Jamaica,-
51,,Japan,13.01
52,,Jordan,8.13
53,,Kazakhstan,6.21
54,,Kenya,4.35
55,,Kosovo (Disputed Territory),5.16
56,,Kuwait,6.15
57,,Latvia,7.10
58,,Lebanon,8.98
59,,Lithuania,8.96
60,,Luxembourg,-
61,,Macedonia,5.62
62,,Malaysia,11.99
63,,Malta,8.14
64,,Mauritius,-
65,,Mexico,5.04
66,,Moldova,6.58
67,,Montenegro,5.66
68,,Morocco,7.11
69,,Namibia,7.78
70,,Nepal,7.57
71,,Netherlands,11.04
72,,New Zealand,6.58
73,,Nigeria,-
74,,Norway,12.70
75,,Oman,6.60
76,,Pakistan,6.32
77,,Panama,11.26
78,,Peru,5.96
79,,Philippines,4.82
80,,Poland,6.32
81,,Portugal,8.43
82,,Puerto Rico,5.22
83,,Qatar,8.02
84,,Romania,5.77
85,,Russia,7.82
86,,Saudi Arabia,5.54
87,,Serbia,5.49
88,,Singapore,16.73
89,,Slovakia,8.93
90,,Slovenia,11.56
91,,South Africa,7.84
92,,South Korea,17.50
93,,Spain,10.82
94,,Sri Lanka,11.56
95,,Sweden,9.71
96,,Switzerland,23.06
97,,Taiwan,-
98,,Tanzania,-
99,,Thailand,18.16
100,,Trinidad And Tobago,6.04
101,,Tunisia,7.25
102,,Turkey,5.67
103,,Uganda,-
104,,Ukraine,6.32
105,,United Arab Emirates,9.58
106,,United Kingdom,7.35
107,,United States,10.58
108,,Uruguay,10.09
109,,Uzbekistan,4.44
110,,Venezuela,2.54
111,,Vietnam,15.71
112,,Zimbabwe,10.37
