,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,4.25
1,,Argentina,9.65
2,,Australia,16.94
3,,Austria,9.88
4,,Bahrain,5.41
5,,Bangladesh,2.00
6,,Belarus,12.00
7,,Belgium,16.05
8,,Bosnia And Herzegovina,4.93
9,,Brazil,7.39
10,,Bulgaria,5.06
11,,Cambodia,2.25
12,,Canada,12.11
13,,Chile,7.10
14,,China,3.14
15,,Colombia,4.36
16,,Costa Rica,7.99
17,,Croatia,8.20
18,,Cyprus,14.81
19,,Czech Republic,4.81
20,,Denmark,17.73
21,,Dominican Republic,7.85
22,,Ecuador,2.75
23,,Egypt,4.98
24,,Estonia,6.17
25,,Finland,11.11
26,,France,14.81
27,,Georgia,9.13
28,,Germany,9.88
29,,Greece,14.81
30,,Hong Kong,6.44
31,,Hungary,5.55
32,,Iceland,12.61
33,,India,1.78
34,,Indonesia,2.13
35,,Iran,5.69
36,,Iraq,7.00
37,,Ireland,14.81
38,,Israel,12.82
39,,Italy,18.52
40,,Japan,10.19
41,,Jordan,6.34
42,,Kazakhstan,10.18
43,,Kenya,3.54
44,,Kuwait,5.69
45,,Latvia,7.93
46,,Lebanon,10.00
47,,Lithuania,5.36
48,,Luxembourg,18.52
49,,Macedonia,4.62
50,,Malaysia,2.36
51,,Malta,14.20
52,,Mauritius,9.24
53,,Mexico,4.18
54,,Morocco,4.94
55,,Nepal,1.81
56,,Netherlands,16.67
57,,New Zealand,12.03
58,,Nigeria,10.00
59,,Norway,24.55
60,,Oman,3.70
61,,Pakistan,2.16
62,,Peru,3.30
63,,Philippines,3.46
64,,Poland,5.65
65,,Portugal,8.64
66,,Puerto Rico,10.00
67,,Qatar,8.24
68,,Romania,5.51
69,,Russia,11.98
70,,Saudi Arabia,5.00
71,,Serbia,6.17
72,,Singapore,7.75
73,,Slovakia,6.17
74,,Slovenia,8.64
75,,South Africa,8.82
76,,South Korea,5.09
77,,Spain,12.35
78,,Sri Lanka,2.01
79,,Sweden,12.38
80,,Switzerland,20.62
81,,Taiwan,2.82
82,,Tanzania,2.97
83,,Thailand,1.89
84,,Tunisia,4.86
85,,Turkey,5.38
86,,Ukraine,6.17
87,,United Arab Emirates,8.55
88,,United Kingdom,15.38
89,,United States,10.00
90,,Uruguay,13.95
91,,Venezuela,15.07
92,,Vietnam,2.88
