,Rank,City,"Milk (regular), (1 liter)"
0,,Albania,1.12
1,,Algeria,0.65
2,,Argentina,1.12
3,,Armenia,0.87
4,,Australia,1.08
5,,Austria,1.25
6,,Azerbaijan,0.81
7,,Bahamas,3.63
8,,Bahrain,1.33
9,,Bangladesh,0.80
10,,Belarus,0.68
11,,Belgium,1.17
12,,Belize,-
13,,Bolivia,0.96
14,,Bosnia And Herzegovina,0.80
15,,Brazil,0.86
16,,Bulgaria,1.18
17,,Cambodia,2.18
18,,Canada,1.79
19,,Chile,1.26
20,,China,2.13
21,,Colombia,0.90
22,,Costa Rica,1.42
23,,Croatia,0.97
24,,Cyprus,1.56
25,,Czech Republic,0.85
26,,Denmark,1.30
27,,Dominican Republic,1.24
28,,Ecuador,1.00
29,,Egypt,0.78
30,,El Salvador,-
31,,Estonia,0.84
32,,Fiji,-
33,,Finland,1.08
34,,France,1.12
35,,Georgia,1.31
36,,Germany,0.95
37,,Ghana,-
38,,Greece,1.33
39,,Guatemala,1.44
40,,Hong Kong,2.86
41,,Hungary,0.84
42,,Iceland,1.59
43,,India,0.69
44,,Indonesia,1.30
45,,Iran,0.76
46,,Iraq,1.04
47,,Ireland,1.13
48,,Israel,1.61
49,,Italy,1.31
50,,Jamaica,2.42
51,,Japan,1.66
52,,Jordan,1.60
53,,Kazakhstan,0.87
54,,Kenya,0.91
55,,Kosovo (Disputed Territory),1.03
56,,Kuwait,1.47
57,,Latvia,1.08
58,,Lebanon,2.03
59,,Lithuania,1.03
60,,Luxembourg,1.49
61,,Macedonia,0.93
62,,Malaysia,1.72
63,,Malta,1.03
64,,Mauritius,-
65,,Mexico,0.91
66,,Moldova,0.79
67,,Montenegro,0.95
68,,Morocco,0.74
69,,Namibia,1.44
70,,Nepal,0.72
71,,Netherlands,1.15
72,,New Zealand,1.85
73,,Nigeria,2.20
74,,Norway,2.19
75,,Oman,1.44
76,,Pakistan,0.85
77,,Panama,1.57
78,,Peru,1.39
79,,Philippines,1.51
80,,Poland,0.67
81,,Portugal,0.77
82,,Puerto Rico,1.53
83,,Qatar,1.71
84,,Romania,1.10
85,,Russia,0.95
86,,Saudi Arabia,1.27
87,,Serbia,0.90
88,,Singapore,2.42
89,,Slovakia,0.83
90,,Slovenia,1.02
91,,South Africa,1.07
92,,South Korea,2.25
93,,Spain,0.92
94,,Sri Lanka,1.32
95,,Sweden,1.28
96,,Switzerland,1.70
97,,Taiwan,2.89
98,,Tanzania,1.17
99,,Thailand,1.76
100,,Trinidad And Tobago,1.76
101,,Tunisia,0.47
102,,Turkey,0.79
103,,Uganda,0.70
104,,Ukraine,0.86
105,,United Arab Emirates,1.44
106,,United Kingdom,1.20
107,,United States,0.82
108,,Uruguay,0.86
109,,Uzbekistan,0.70
110,,Venezuela,0.96
111,,Vietnam,1.57
112,,Zimbabwe,1.57
