,Rank,City,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)"
0,,Argentina,31.14
1,,Australia,42.12
2,,Austria,33.74
3,,Belgium,32.72
4,,Bosnia And Herzegovina,18.52
5,,Brazil,46.12
6,,Bulgaria,13.93
7,,Canada,38.50
8,,Chile,41.25
9,,China,14.81
10,,Colombia,40.00
11,,Croatia,20.99
12,,Czech Republic,22.44
13,,Denmark,30.13
14,,Ecuador,47.50
15,,Egypt,44.75
16,,Estonia,17.75
17,,Finland,29.51
18,,France,36.69
19,,Germany,31.76
20,,Greece,24.99
21,,Hong Kong,20.18
22,,Hungary,26.93
23,,India,20.53
24,,Indonesia,31.39
25,,Iran,24.60
26,,Ireland,32.10
27,,Israel,26.22
28,,Italy,28.51
29,,Japan,24.86
30,,Jordan,63.18
31,,Kazakhstan,31.50
32,,Lithuania,16.33
33,,Malaysia,36.04
34,,Malta,16.98
35,,Mexico,32.23
36,,Morocco,37.04
37,,Netherlands,24.69
38,,New Zealand,29.49
39,,Norway,39.04
40,,Pakistan,17.39
41,,Panama,31.00
42,,Philippines,32.98
43,,Poland,14.24
44,,Portugal,25.22
45,,Puerto Rico,57.00
46,,Qatar,88.69
47,,Romania,7.99
48,,Russia,16.60
49,,Saudi Arabia,70.42
50,,Serbia,18.27
51,,Singapore,30.48
52,,Slovakia,22.22
53,,Slovenia,29.63
54,,South Africa,65.46
55,,South Korea,23.97
56,,Spain,40.65
57,,Sweden,26.78
58,,Switzerland,40.30
59,,Syria,70.00
60,,Taiwan,21.00
61,,Thailand,19.09
62,,Turkey,26.75
63,,Ukraine,21.00
64,,United Arab Emirates,80.35
65,,United Kingdom,21.99
66,,United States,39.12
67,,Vietnam,20.00
