,Rank,City,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)
0,,Argentina,0.36
1,,Australia,0.38
2,,Austria,0.16
3,,Belgium,0.37
4,,Bosnia And Herzegovina,0.19
5,,Brazil,0.62
6,,Bulgaria,0.20
7,,Canada,0.37
8,,Chile,0.20
9,,China,0.10
10,,Colombia,0.12
11,,Croatia,0.18
12,,Czech Republic,0.34
13,,Denmark,0.10
14,,Ecuador,0.30
15,,Egypt,0.05
16,,Estonia,0.09
17,,Finland,0.13
18,,France,0.31
19,,Germany,0.24
20,,Greece,0.34
21,,Hong Kong,0.10
22,,Hungary,0.15
23,,India,0.02
24,,Indonesia,0.10
25,,Iran,0.09
26,,Ireland,0.30
27,,Israel,0.12
28,,Italy,0.15
29,,Japan,0.57
30,,Jordan,0.19
31,,Kazakhstan,0.15
32,,Lithuania,0.09
33,,Malaysia,0.11
34,,Malta,0.37
35,,Mexico,0.35
36,,Morocco,0.65
37,,Netherlands,0.28
38,,New Zealand,0.36
39,,Norway,0.19
40,,Pakistan,0.04
41,,Panama,0.20
42,,Philippines,0.19
43,,Poland,0.12
44,,Portugal,0.21
45,,Puerto Rico,0.51
46,,Qatar,0.14
47,,Romania,0.13
48,,Russia,0.08
49,,Saudi Arabia,0.19
50,,Serbia,0.10
51,,Singapore,0.21
52,,Slovakia,0.19
53,,Slovenia,0.17
54,,South Africa,0.30
55,,South Korea,0.22
56,,Spain,0.28
57,,Sweden,0.14
58,,Switzerland,0.44
59,,Syria,0.14
60,,Taiwan,0.19
61,,Thailand,0.04
62,,Turkey,0.25
63,,Ukraine,0.10
64,,United Arab Emirates,0.22
65,,United Kingdom,0.16
66,,United States,0.38
67,,Vietnam,0.08
