,Rank,City,Local Cheese (1kg)
0,,Algeria,7.42
1,,Argentina,10.49
2,,Australia,10.20
3,,Austria,14.94
4,,Azerbaijan,6.66
5,,Bahrain,4.02
6,,Bangladesh,8.41
7,,Belarus,7.79
8,,Belgium,15.60
9,,Bosnia And Herzegovina,6.62
10,,Brazil,9.20
11,,Bulgaria,5.61
12,,Canada,11.91
13,,Chile,11.40
14,,China,11.52
15,,Colombia,5.53
16,,Costa Rica,6.37
17,,Croatia,9.56
18,,Cyprus,12.07
19,,Czech Republic,8.54
20,,Denmark,14.38
21,,Dominican Republic,8.00
22,,Ecuador,5.21
23,,Egypt,3.79
24,,Estonia,8.23
25,,Ethiopia,8.81
26,,Finland,10.43
27,,France,15.98
28,,Georgia,4.80
29,,Germany,10.43
30,,Ghana,2.30
31,,Greece,10.42
32,,Hong Kong,15.33
33,,Hungary,7.05
34,,Iceland,14.47
35,,India,4.28
36,,Indonesia,10.04
37,,Iran,5.25
38,,Iraq,4.94
39,,Ireland,12.32
40,,Israel,13.58
41,,Italy,16.46
42,,Jamaica,7.97
43,,Japan,15.57
44,,Jordan,6.81
45,,Kazakhstan,10.08
46,,Kenya,12.36
47,,Kuwait,3.45
48,,Latvia,8.09
49,,Lebanon,7.63
50,,Lithuania,9.51
51,,Luxembourg,11.69
52,,Macedonia,5.37
53,,Malaysia,9.08
54,,Malta,8.23
55,,Mexico,6.42
56,,Moldova,8.20
57,,Morocco,8.10
58,,Nepal,6.54
59,,Netherlands,11.69
60,,New Zealand,8.06
61,,Nigeria,11.11
62,,Norway,14.16
63,,Oman,-
64,,Pakistan,4.91
65,,Panama,7.86
66,,Peru,7.77
67,,Philippines,5.41
68,,Poland,6.59
69,,Portugal,8.87
70,,Puerto Rico,6.77
71,,Qatar,11.98
72,,Romania,5.97
73,,Russia,9.02
74,,Saudi Arabia,5.62
75,,Serbia,6.51
76,,Singapore,17.81
77,,Slovakia,9.08
78,,Slovenia,9.55
79,,South Africa,6.77
80,,South Korea,17.03
81,,Spain,11.52
82,,Sri Lanka,12.18
83,,Sweden,12.51
84,,Switzerland,20.57
85,,Syria,4.37
86,,Taiwan,18.78
87,,Tanzania,8.24
88,,Thailand,16.85
89,,Trinidad And Tobago,4.82
90,,Tunisia,8.38
91,,Turkey,6.95
92,,Ukraine,8.14
93,,United Arab Emirates,7.57
94,,United Kingdom,9.40
95,,United States,9.58
96,,Uruguay,12.70
97,,Venezuela,17.79
98,,Vietnam,11.20
