,Rank,City,Cappuccino (regular)
0,,Albania,1.28
1,,Algeria,1.18
2,,Argentina,2.90
3,,Armenia,1.98
4,,Australia,3.72
5,,Austria,3.74
6,,Azerbaijan,3.81
7,,Bahrain,3.66
8,,Bangladesh,1.63
9,,Belarus,2.37
10,,Belgium,3.45
11,,Bosnia And Herzegovina,1.33
12,,Brazil,2.07
13,,Bulgaria,1.40
14,,Cambodia,1.97
15,,Canada,3.45
16,,Chile,2.50
17,,China,4.29
18,,Colombia,1.85
19,,Costa Rica,2.20
20,,Croatia,1.74
21,,Cyprus,4.36
22,,Czech Republic,1.93
23,,Denmark,6.25
24,,Dominican Republic,1.93
25,,Ecuador,1.90
26,,Egypt,2.12
27,,Estonia,3.00
28,,Finland,4.29
29,,France,3.63
30,,Georgia,2.14
31,,Germany,3.45
32,,Greece,4.12
33,,Hong Kong,4.17
34,,Hungary,1.61
35,,Iceland,4.22
36,,India,1.27
37,,Indonesia,2.23
38,,Iran,2.35
39,,Iraq,1.61
40,,Ireland,3.79
41,,Israel,3.59
42,,Italy,1.76
43,,Jamaica,2.63
44,,Japan,3.64
45,,Jordan,3.68
46,,Kazakhstan,3.23
47,,Kenya,2.48
48,,Kuwait,4.64
49,,Latvia,2.46
50,,Lebanon,3.72
51,,Lithuania,2.06
52,,Luxembourg,3.57
53,,Macedonia,1.57
54,,Malaysia,2.79
55,,Malta,2.08
56,,Mexico,2.43
57,,Morocco,1.47
58,,Nepal,1.20
59,,Netherlands,3.44
60,,New Zealand,3.66
61,,Nigeria,4.13
62,,Norway,6.06
63,,Oman,3.92
64,,Pakistan,1.60
65,,Panama,2.02
66,,Peru,2.32
67,,Philippines,2.13
68,,Poland,2.40
69,,Portugal,1.48
70,,Puerto Rico,2.38
71,,Qatar,4.92
72,,Romania,1.87
73,,Russia,3.26
74,,Saudi Arabia,2.60
75,,Serbia,1.57
76,,Singapore,4.15
77,,Slovakia,2.05
78,,Slovenia,1.84
79,,South Africa,1.73
80,,South Korea,4.27
81,,Spain,2.15
82,,Sri Lanka,2.01
83,,Sweden,4.68
84,,Switzerland,4.86
85,,Taiwan,2.60
86,,Thailand,1.76
87,,Trinidad And Tobago,2.82
88,,Tunisia,0.75
89,,Turkey,2.89
90,,Ukraine,1.36
91,,United Arab Emirates,4.07
92,,United Kingdom,4.05
93,,United States,3.73
94,,Uruguay,3.14
95,,Venezuela,2.27
96,,Vietnam,1.81
