,Rank,City,Tomato (1kg)
0,,Albania,0.72
1,,Algeria,0.76
2,,Argentina,2.41
3,,Armenia,1.01
4,,Australia,3.39
5,,Austria,2.53
6,,Azerbaijan,1.31
7,,Bahrain,1.19
8,,Bangladesh,0.54
9,,Belarus,1.91
10,,Belgium,2.16
11,,Bosnia And Herzegovina,1.01
12,,Brazil,1.65
13,,Bulgaria,1.19
14,,Cambodia,1.13
15,,Canada,2.93
16,,Chile,1.33
17,,China,1.28
18,,Colombia,0.96
19,,Costa Rica,2.12
20,,Croatia,1.60
21,,Cyprus,1.46
22,,Czech Republic,1.51
23,,Denmark,3.21
24,,Dominican Republic,1.48
25,,Ecuador,1.19
26,,Egypt,0.49
27,,Estonia,1.75
28,,Finland,3.28
29,,France,2.61
30,,Georgia,0.84
31,,Germany,2.61
32,,Greece,1.39
33,,Guatemala,0.83
34,,Hong Kong,2.92
35,,Hungary,1.56
36,,Iceland,2.93
37,,India,0.51
38,,Indonesia,1.12
39,,Iran,0.78
40,,Iraq,0.87
41,,Ireland,2.92
42,,Israel,1.31
43,,Italy,2.08
44,,Jamaica,-
45,,Japan,5.91
46,,Jordan,0.77
47,,Kazakhstan,2.19
48,,Kenya,1.08
49,,Kuwait,1.47
50,,Latvia,1.50
51,,Lebanon,1.37
52,,Lithuania,1.44
53,,Luxembourg,2.91
54,,Macedonia,0.82
55,,Malaysia,1.32
56,,Malta,2.59
57,,Mauritius,-
58,,Mexico,1.05
59,,Moldova,0.72
60,,Montenegro,0.93
61,,Morocco,0.48
62,,Nepal,0.63
63,,Netherlands,2.22
64,,New Zealand,4.19
65,,Nigeria,1.78
66,,Norway,3.73
67,,Oman,1.58
68,,Pakistan,0.58
69,,Panama,2.68
70,,Peru,1.00
71,,Philippines,1.04
72,,Poland,1.27
73,,Portugal,1.45
74,,Puerto Rico,2.64
75,,Qatar,1.31
76,,Romania,0.97
77,,Russia,2.13
78,,Saudi Arabia,1.70
79,,Serbia,0.82
80,,Singapore,2.06
81,,Slovakia,1.91
82,,Slovenia,1.89
83,,South Africa,1.35
84,,South Korea,3.86
85,,Spain,1.59
86,,Sri Lanka,1.18
87,,Sweden,2.70
88,,Switzerland,4.14
89,,Taiwan,2.43
90,,Tanzania,1.16
91,,Thailand,1.19
92,,Trinidad And Tobago,3.12
93,,Tunisia,0.57
94,,Turkey,1.04
95,,Ukraine,1.38
96,,United Arab Emirates,1.78
97,,United Kingdom,2.73
98,,United States,4.04
99,,Uruguay,2.34
100,,Venezuela,5.96
101,,Vietnam,0.69
102,,Zimbabwe,1.32
