,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,63.44
1,,Algeria,64.69
2,,Argentina,116.85
3,,Armenia,80.60
4,,Australia,102.93
5,,Austria,123.19
6,,Azerbaijan,74.14
7,,Bahrain,75.79
8,,Bangladesh,48.68
9,,Belarus,97.74
10,,Belgium,126.52
11,,Bosnia And Herzegovina,75.04
12,,Brazil,72.07
13,,Bulgaria,64.92
14,,Cambodia,35.69
15,,Canada,94.71
16,,Chile,78.06
17,,China,100.44
18,,Colombia,69.67
19,,Costa Rica,104.64
20,,Croatia,82.79
21,,Cyprus,85.62
22,,Czech Republic,83.35
23,,Denmark,149.57
24,,Dominican Republic,103.78
25,,Ecuador,83.10
26,,Egypt,67.24
27,,Estonia,101.96
28,,Finland,117.19
29,,France,114.78
30,,Georgia,78.64
31,,Germany,111.91
32,,Greece,93.55
33,,Guatemala,88.88
34,,Hong Kong,129.38
35,,Hungary,80.08
36,,Iceland,190.68
37,,India,40.38
38,,Indonesia,63.84
39,,Iran,71.52
40,,Iraq,53.40
41,,Ireland,91.30
42,,Israel,116.30
43,,Italy,126.05
44,,Jamaica,75.52
45,,Japan,85.36
46,,Jordan,95.99
47,,Kazakhstan,116.49
48,,Kenya,42.96
49,,Kuwait,89.89
50,,Latvia,94.50
51,,Lebanon,129.01
52,,Lithuania,98.90
53,,Luxembourg,162.11
54,,Macedonia,64.21
55,,Malaysia,70.91
56,,Malta,68.43
57,,Mauritius,83.78
58,,Mexico,69.03
59,,Moldova,65.74
60,,Montenegro,77.72
61,,Morocco,83.54
62,,Nepal,29.01
63,,Netherlands,131.81
64,,New Zealand,107.95
65,,Nigeria,34.23
66,,Norway,145.45
67,,Oman,58.53
68,,Pakistan,37.75
69,,Panama,72.00
70,,Peru,72.10
71,,Philippines,53.87
72,,Poland,79.17
73,,Portugal,86.93
74,,Puerto Rico,87.33
75,,Qatar,94.29
76,,Romania,73.09
77,,Russia,99.48
78,,Saudi Arabia,75.04
79,,Serbia,76.50
80,,Singapore,103.87
81,,Slovakia,75.69
82,,Slovenia,103.52
83,,South Africa,75.98
84,,South Korea,118.96
85,,Spain,95.95
86,,Sri Lanka,35.13
87,,Sweden,135.00
88,,Switzerland,174.89
89,,Taiwan,99.13
90,,Tanzania,64.97
91,,Thailand,61.67
92,,Trinidad And Tobago,69.04
93,,Tunisia,49.10
94,,Turkey,67.76
95,,Ukraine,98.91
96,,United Arab Emirates,95.76
97,,United Kingdom,92.58
98,,United States,92.02
99,,Uruguay,102.83
100,,Venezuela,94.80
101,,Vietnam,58.57
102,,Zimbabwe,54.00
