,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Argentina,88.78
1,,Australia,74.58
2,,Austria,123.46
3,,Belgium,100.82
4,,Bosnia And Herzegovina,92.59
5,,Brazil,111.69
6,,Bulgaria,114.74
7,,Canada,54.30
8,,Chile,70.00
9,,China,52.79
10,,Colombia,150.00
11,,Croatia,100.51
12,,Czech Republic,92.10
13,,Denmark,110.58
14,,Ecuador,60.00
15,,Egypt,100.00
16,,Estonia,63.12
17,,Finland,117.28
18,,France,86.46
19,,Germany,96.50
20,,Greece,101.85
21,,Hong Kong,118.74
22,,Hungary,151.77
23,,India,41.15
24,,Indonesia,57.44
25,,Iran,67.50
26,,Ireland,89.30
27,,Israel,110.00
28,,Italy,123.46
29,,Japan,91.03
30,,Jordan,65.00
31,,Kazakhstan,-
32,,Lithuania,80.45
33,,Malaysia,72.31
34,,Malta,80.25
35,,Mexico,43.43
36,,Morocco,96.24
37,,Netherlands,138.27
38,,New Zealand,78.79
39,,Norway,132.69
40,,Pakistan,36.98
41,,Panama,45.00
42,,Philippines,56.09
43,,Poland,74.85
44,,Portugal,109.05
45,,Puerto Rico,10.00
46,,Qatar,-
47,,Romania,95.41
48,,Russia,98.35
49,,Saudi Arabia,100.00
50,,Serbia,61.73
51,,Singapore,102.38
52,,Slovakia,109.88
53,,Slovenia,88.48
54,,South Africa,67.86
55,,South Korea,57.50
56,,Spain,98.77
57,,Sweden,86.32
58,,Switzerland,113.79
59,,Syria,70.00
60,,Taiwan,63.50
61,,Thailand,46.25
62,,Turkey,48.48
63,,Ukraine,-
64,,United Arab Emirates,150.00
65,,United Kingdom,83.54
66,,United States,38.57
67,,Vietnam,2.00
