,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Albania,37.60
1,,Algeria,46.82
2,,Argentina,65.89
3,,Armenia,42.82
4,,Australia,47.42
5,,Austria,40.56
6,,Azerbaijan,37.09
7,,Bahrain,51.02
8,,Bangladesh,27.88
9,,Belarus,39.96
10,,Belgium,35.49
11,,Bolivia,42.50
12,,Bosnia And Herzegovina,33.54
13,,Brazil,48.15
14,,Bulgaria,29.58
15,,Cambodia,19.17
16,,Canada,31.68
17,,Chile,33.38
18,,China,34.17
19,,Colombia,43.26
20,,Costa Rica,49.09
21,,Croatia,34.11
22,,Cyprus,37.46
23,,Czech Republic,32.29
24,,Denmark,42.02
25,,Dominican Republic,53.66
26,,Ecuador,56.19
27,,Egypt,39.08
28,,Estonia,32.09
29,,Finland,33.08
30,,France,36.96
31,,Georgia,33.19
32,,Germany,38.63
33,,Greece,33.75
34,,Guatemala,46.16
35,,Hong Kong,30.95
36,,Hungary,33.04
37,,Iceland,92.61
38,,India,37.78
39,,Indonesia,26.58
40,,Iran,37.20
41,,Iraq,30.15
42,,Ireland,38.87
43,,Israel,56.25
44,,Italy,34.01
45,,Jamaica,-
46,,Japan,41.47
47,,Jordan,66.75
48,,Kazakhstan,44.37
49,,Kenya,33.60
50,,Kosovo (Disputed Territory),24.49
51,,Kuwait,52.69
52,,Latvia,32.13
53,,Lebanon,52.03
54,,Lithuania,44.76
55,,Luxembourg,49.45
56,,Macedonia,32.08
57,,Malaysia,27.68
58,,Malta,39.18
59,,Mauritius,46.62
60,,Mexico,31.91
61,,Moldova,38.36
62,,Montenegro,36.95
63,,Morocco,39.11
64,,Nepal,30.05
65,,Netherlands,35.23
66,,New Zealand,44.93
67,,Nigeria,35.16
68,,Norway,45.91
69,,Oman,39.62
70,,Pakistan,34.32
71,,Panama,38.18
72,,Peru,40.24
73,,Philippines,23.86
74,,Poland,35.09
75,,Portugal,32.00
76,,Puerto Rico,38.36
77,,Qatar,58.36
78,,Romania,33.45
79,,Russia,47.12
80,,Saudi Arabia,51.56
81,,Serbia,30.08
82,,Singapore,36.33
83,,Slovakia,31.78
84,,Slovenia,33.59
85,,South Africa,35.59
86,,South Korea,40.57
87,,Spain,30.14
88,,Sri Lanka,23.19
89,,Sweden,42.21
90,,Switzerland,57.62
91,,Taiwan,38.41
92,,Tanzania,-
93,,Thailand,34.45
94,,Trinidad And Tobago,34.47
95,,Tunisia,42.56
96,,Turkey,28.80
97,,Ukraine,40.23
98,,United Arab Emirates,54.53
99,,United Kingdom,37.62
100,,United States,34.75
101,,Uruguay,54.45
102,,Venezuela,42.00
103,,Vietnam,25.56
104,,Zimbabwe,25.67
