,Rank,City,Taxi 1km (Normal Tariff)
0,,Argentina,1.10
1,,Australia,2.02
2,,Austria,2.17
3,,Bangladesh,-
4,,Belgium,2.32
5,,Bosnia And Herzegovina,0.72
6,,Brazil,1.27
7,,Bulgaria,0.55
8,,Canada,1.86
9,,Chile,1.25
10,,China,0.31
11,,Colombia,0.79
12,,Costa Rica,1.00
13,,Croatia,1.36
14,,Cyprus,1.06
15,,Czech Republic,1.53
16,,Denmark,1.93
17,,Ecuador,1.50
18,,Egypt,0.50
19,,Estonia,0.87
20,,Finland,2.04
21,,France,1.17
22,,Germany,2.25
23,,Greece,1.16
24,,Hong Kong,1.93
25,,Hungary,1.08
26,,Iceland,2.65
27,,India,0.33
28,,Indonesia,0.47
29,,Iran,0.40
30,,Ireland,1.72
31,,Israel,1.43
32,,Italy,1.45
33,,Japan,4.67
34,,Jordan,0.41
35,,Latvia,0.92
36,,Lebanon,6.00
37,,Lithuania,0.76
38,,Macedonia,0.58
39,,Malaysia,0.67
40,,Malta,1.45
41,,Mexico,0.43
42,,Morocco,0.48
43,,Netherlands,3.19
44,,New Zealand,2.07
45,,Norway,3.12
46,,Pakistan,0.50
47,,Panama,1.80
48,,Peru,3.00
49,,Philippines,0.67
50,,Poland,0.88
51,,Portugal,0.88
52,,Puerto Rico,1.90
53,,Qatar,0.69
54,,Romania,0.52
55,,Russia,0.43
56,,Saudi Arabia,0.75
57,,Serbia,0.83
58,,Singapore,0.46
59,,Slovakia,1.23
60,,Slovenia,1.30
61,,South Africa,1.03
62,,South Korea,1.12
63,,Spain,1.45
64,,Sri Lanka,-
65,,Sweden,1.63
66,,Switzerland,4.47
67,,Syria,0.35
68,,Taiwan,0.66
69,,Thailand,0.17
70,,Tunisia,0.75
71,,Turkey,1.05
72,,Ukraine,0.36
73,,United Arab Emirates,0.50
74,,United Kingdom,2.95
75,,United States,1.39
76,,Uruguay,1.62
77,,Venezuela,8.00
78,,Vietnam,0.50
