,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.81
1,,Algeria,1.51
2,,Argentina,1.36
3,,Armenia,0.88
4,,Australia,3.29
5,,Austria,1.12
6,,Azerbaijan,0.79
7,,Bahamas,-
8,,Bahrain,-
9,,Bangladesh,-
10,,Belarus,0.94
11,,Belgium,1.19
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,0.63
15,,Brazil,1.22
16,,Bulgaria,0.72
17,,Cambodia,0.63
18,,Canada,1.93
19,,Chile,1.49
20,,China,0.79
21,,Colombia,0.81
22,,Costa Rica,1.56
23,,Croatia,1.26
24,,Cyprus,1.19
25,,Czech Republic,0.71
26,,Denmark,1.92
27,,Dominican Republic,2.17
28,,Ecuador,1.11
29,,Egypt,1.29
30,,El Salvador,-
31,,Estonia,1.58
32,,Fiji,-
33,,Finland,2.18
34,,France,1.79
35,,Georgia,0.95
36,,Germany,0.98
37,,Ghana,-
38,,Greece,1.43
39,,Guatemala,-
40,,Hong Kong,1.83
41,,Hungary,0.86
42,,Iceland,3.01
43,,India,1.64
44,,Indonesia,2.21
45,,Iran,0.70
46,,Iraq,2.00
47,,Ireland,2.38
48,,Israel,2.38
49,,Italy,1.34
50,,Jamaica,-
51,,Japan,2.21
52,,Jordan,5.11
53,,Kazakhstan,0.71
54,,Kenya,1.77
55,,Kosovo (Disputed Territory),0.64
56,,Kuwait,-
57,,Latvia,1.27
58,,Lebanon,1.14
59,,Lithuania,1.26
60,,Luxembourg,-
61,,Macedonia,0.83
62,,Malaysia,1.57
63,,Malta,1.38
64,,Mauritius,-
65,,Mexico,0.86
66,,Moldova,0.87
67,,Montenegro,1.00
68,,Morocco,1.56
69,,Namibia,-
70,,Nepal,2.16
71,,Netherlands,1.22
72,,New Zealand,3.24
73,,Nigeria,0.79
74,,Norway,3.78
75,,Oman,-
76,,Pakistan,1.99
77,,Panama,0.55
78,,Peru,1.71
79,,Philippines,0.85
80,,Poland,0.83
81,,Portugal,1.00
82,,Puerto Rico,1.24
83,,Qatar,8.79
84,,Romania,0.81
85,,Russia,0.97
86,,Saudi Arabia,1.21
87,,Serbia,0.68
88,,Singapore,3.25
89,,Slovakia,0.81
90,,Slovenia,1.21
91,,South Africa,1.37
92,,South Korea,2.25
93,,Spain,0.84
94,,Sri Lanka,1.44
95,,Sweden,1.82
96,,Switzerland,1.71
97,,Taiwan,1.38
98,,Tanzania,0.99
99,,Thailand,1.77
100,,Trinidad And Tobago,-
101,,Tunisia,0.62
102,,Turkey,1.92
103,,Uganda,-
104,,Ukraine,0.64
105,,United Arab Emirates,4.48
106,,United Kingdom,2.04
107,,United States,1.83
108,,Uruguay,2.25
109,,Uzbekistan,-
110,,Venezuela,1.13
111,,Vietnam,0.58
112,,Zimbabwe,1.79
