,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,3.87
1,,Algeria,3.77
2,,Argentina,9.00
3,,Armenia,4.18
4,,Australia,13.69
5,,Austria,10.93
6,,Azerbaijan,6.66
7,,Bahrain,7.96
8,,Bangladesh,4.18
9,,Belarus,3.50
10,,Belgium,10.93
11,,Bosnia And Herzegovina,3.35
12,,Brazil,7.85
13,,Bulgaria,5.59
14,,Cambodia,3.50
15,,Canada,10.36
16,,Chile,6.41
17,,China,12.90
18,,Colombia,4.68
19,,Costa Rica,6.54
20,,Croatia,5.05
21,,Cyprus,8.74
22,,Czech Republic,6.37
23,,Denmark,13.92
24,,Dominican Republic,5.58
25,,Ecuador,5.75
26,,Egypt,5.24
27,,Estonia,6.56
28,,Finland,13.11
29,,France,10.93
30,,Georgia,5.21
31,,Germany,10.93
32,,Greece,8.20
33,,Guatemala,5.48
34,,Hong Kong,11.60
35,,Hungary,5.48
36,,Iceland,9.99
37,,India,3.77
38,,Indonesia,3.78
39,,Iran,2.00
40,,Iraq,10.00
41,,Ireland,10.93
42,,Israel,10.33
43,,Italy,8.74
44,,Jamaica,9.06
45,,Japan,14.42
46,,Jordan,11.29
47,,Kazakhstan,6.45
48,,Kenya,6.66
49,,Kuwait,11.55
50,,Latvia,6.56
51,,Lebanon,9.00
52,,Lithuania,6.56
53,,Luxembourg,9.84
54,,Macedonia,3.54
55,,Malaysia,4.06
56,,Malta,7.65
57,,Mauritius,7.08
58,,Mexico,4.51
59,,Moldova,4.27
60,,Montenegro,4.37
61,,Morocco,5.08
62,,Nepal,3.43
63,,Netherlands,10.93
64,,New Zealand,11.34
65,,Nigeria,7.54
66,,Norway,15.09
67,,Oman,9.74
68,,Pakistan,4.91
69,,Panama,5.50
70,,Peru,5.70
71,,Philippines,4.49
72,,Poland,6.37
73,,Portugal,7.05
74,,Puerto Rico,7.00
75,,Qatar,9.62
76,,Romania,4.92
77,,Russia,5.88
78,,Saudi Arabia,14.67
79,,Serbia,3.62
80,,Singapore,8.85
81,,Slovakia,7.10
82,,Slovenia,7.10
83,,South Africa,5.30
84,,South Korea,8.96
85,,Spain,8.74
86,,Sri Lanka,3.73
87,,Sweden,14.01
88,,Switzerland,19.04
89,,Taiwan,9.72
90,,Tanzania,5.67
91,,Thailand,5.34
92,,Trinidad And Tobago,7.89
93,,Tunisia,2.54
94,,Turkey,5.59
95,,Ukraine,3.33
96,,United Arab Emirates,9.53
97,,United Kingdom,14.44
98,,United States,11.00
99,,Uruguay,9.32
100,,Venezuela,3.00
101,,Vietnam,4.58
102,,Zimbabwe,6.00
