,Rank,City,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate"
0,,Algeria,4.70
1,,Argentina,20.13
2,,Australia,5.87
3,,Austria,3.36
4,,Azerbaijan,10.86
5,,Bahrain,8.00
6,,Bangladesh,17.50
7,,Belarus,33.08
8,,Belgium,3.88
9,,Bosnia And Herzegovina,7.51
10,,Brazil,10.49
11,,Bulgaria,8.40
12,,Canada,3.45
13,,Chile,5.17
14,,China,6.09
15,,Colombia,12.14
16,,Costa Rica,13.67
17,,Croatia,6.36
18,,Cyprus,6.46
19,,Czech Republic,3.30
20,,Denmark,3.54
21,,Dominican Republic,15.29
22,,Ecuador,8.83
23,,Egypt,9.89
24,,Estonia,3.60
25,,Ethiopia,10.67
26,,Finland,2.47
27,,France,3.44
28,,Georgia,12.91
29,,Germany,2.98
30,,Ghana,-
31,,Greece,5.06
32,,Hong Kong,2.57
33,,Hungary,8.37
34,,Iceland,-
35,,India,10.99
36,,Indonesia,8.80
37,,Iran,22.39
38,,Iraq,-
39,,Ireland,4.43
40,,Israel,3.79
41,,Italy,5.29
42,,Jamaica,13.24
43,,Japan,1.89
44,,Jordan,8.28
45,,Kazakhstan,13.54
46,,Kenya,16.20
47,,Kuwait,6.71
48,,Latvia,3.80
49,,Lebanon,5.72
50,,Lithuania,3.94
51,,Luxembourg,-
52,,Macedonia,7.59
53,,Malaysia,4.85
54,,Malta,3.35
55,,Mexico,10.79
56,,Moldova,14.56
57,,Morocco,6.30
58,,Nepal,11.00
59,,Netherlands,4.40
60,,New Zealand,5.61
61,,Nigeria,20.00
62,,Norway,3.73
63,,Oman,6.60
64,,Pakistan,14.45
65,,Panama,5.95
66,,Peru,10.17
67,,Philippines,9.79
68,,Poland,5.27
69,,Portugal,4.21
70,,Puerto Rico,5.05
71,,Qatar,5.46
72,,Romania,7.58
73,,Russia,13.58
74,,Saudi Arabia,4.36
75,,Serbia,7.04
76,,Singapore,2.36
77,,Slovakia,4.53
78,,Slovenia,4.98
79,,South Africa,8.88
80,,South Korea,4.48
81,,Spain,3.46
82,,Sri Lanka,15.43
83,,Sweden,3.26
84,,Switzerland,1.93
85,,Syria,8.50
86,,Taiwan,1.99
87,,Tanzania,16.00
88,,Thailand,6.06
89,,Trinidad And Tobago,7.80
90,,Tunisia,9.00
91,,Turkey,11.33
92,,Ukraine,18.85
93,,United Arab Emirates,5.63
94,,United Kingdom,4.10
95,,United States,4.17
96,,Uruguay,8.20
97,,Venezuela,13.55
98,,Vietnam,11.28
