,Rank,City,Bottle of Wine (Mid-Range)
0,,Argentina,5.00
1,,Australia,15.96
2,,Austria,8.70
3,,Bangladesh,18.00
4,,Belgium,8.70
5,,Bosnia And Herzegovina,6.52
6,,Brazil,12.66
7,,Bulgaria,5.04
8,,Canada,15.46
9,,Chile,6.32
10,,China,10.82
11,,Colombia,10.00
12,,Costa Rica,9.00
13,,Croatia,7.17
14,,Cyprus,6.86
15,,Czech Republic,5.88
16,,Denmark,10.64
17,,Ecuador,10.00
18,,Egypt,10.00
19,,Estonia,6.37
20,,Finland,14.49
21,,France,7.25
22,,Germany,7.25
23,,Greece,8.70
24,,Hong Kong,12.85
25,,Hungary,5.42
26,,Iceland,15.22
27,,India,8.90
28,,Indonesia,35.13
29,,Iran,40.00
30,,Ireland,13.04
31,,Israel,11.70
32,,Italy,7.25
33,,Japan,17.19
34,,Jordan,16.85
35,,Latvia,8.20
36,,Lebanon,10.00
37,,Lithuania,8.39
38,,Macedonia,3.70
39,,Malaysia,16.67
40,,Malta,4.71
41,,Mexico,10.37
42,,Morocco,11.59
43,,Netherlands,7.25
44,,New Zealand,11.74
45,,Norway,22.39
46,,Pakistan,8.00
47,,Panama,6.00
48,,Peru,5.00
49,,Philippines,6.96
50,,Poland,7.30
51,,Portugal,5.43
52,,Puerto Rico,14.00
53,,Qatar,26.05
54,,Romania,4.55
55,,Russia,8.94
56,,Saudi Arabia,100.00
57,,Serbia,3.99
58,,Singapore,22.76
59,,Slovakia,6.16
60,,Slovenia,6.52
61,,South Africa,6.75
62,,South Korea,13.98
63,,Spain,6.52
64,,Sri Lanka,10.89
65,,Sweden,12.20
66,,Switzerland,14.12
67,,Syria,6.21
68,,Taiwan,12.50
69,,Thailand,15.74
70,,Tunisia,6.86
71,,Turkey,11.32
72,,Ukraine,4.83
73,,United Arab Emirates,21.00
74,,United Kingdom,9.83
75,,United States,12.00
76,,Uruguay,7.00
77,,Venezuela,16.50
78,,Vietnam,13.00
