,Rank,City,Local Cheese (1kg)
0,,Albania,5.64
1,,Algeria,6.31
2,,Argentina,6.51
3,,Armenia,4.51
4,,Australia,7.41
5,,Austria,11.71
6,,Azerbaijan,3.53
7,,Bahrain,4.47
8,,Bangladesh,8.30
9,,Belarus,5.90
10,,Belgium,14.39
11,,Bolivia,4.77
12,,Bosnia And Herzegovina,6.14
13,,Brazil,5.90
14,,Bulgaria,6.16
15,,Cambodia,16.00
16,,Canada,9.44
17,,Chile,8.04
18,,China,12.98
19,,Colombia,3.23
20,,Costa Rica,6.20
21,,Croatia,10.86
22,,Cyprus,11.02
23,,Czech Republic,8.61
24,,Denmark,12.35
25,,Dominican Republic,5.54
26,,Ecuador,4.25
27,,Egypt,3.46
28,,Estonia,7.66
29,,Finland,7.19
30,,France,16.40
31,,Georgia,4.73
32,,Germany,10.34
33,,Ghana,11.45
34,,Greece,9.00
35,,Guatemala,4.96
36,,Hong Kong,17.87
37,,Hungary,6.49
38,,Iceland,10.94
39,,India,5.50
40,,Indonesia,8.25
41,,Iran,4.80
42,,Iraq,5.10
43,,Ireland,9.97
44,,Israel,14.30
45,,Italy,13.94
46,,Japan,13.74
47,,Jordan,7.16
48,,Kazakhstan,5.94
49,,Kenya,10.54
50,,Kosovo (Disputed Territory),3.71
51,,Kuwait,3.88
52,,Latvia,7.80
53,,Lebanon,11.61
54,,Lithuania,7.80
55,,Luxembourg,-
56,,Malaysia,9.89
57,,Malta,11.30
58,,Mauritius,-
59,,Mexico,5.20
60,,Moldova,5.52
61,,Montenegro,5.85
62,,Morocco,7.74
63,,Nepal,7.67
64,,Netherlands,12.20
65,,New Zealand,6.95
66,,Nigeria,6.16
67,,North Macedonia,5.68
68,,Norway,11.50
69,,Oman,6.22
70,,Pakistan,6.20
71,,Panama,8.41
72,,Peru,7.55
73,,Philippines,6.20
74,,Poland,6.32
75,,Portugal,7.28
76,,Puerto Rico,8.32
77,,Qatar,9.54
78,,Romania,5.68
79,,Russia,8.12
80,,Saudi Arabia,6.37
81,,Serbia,4.91
82,,Singapore,17.28
83,,Slovakia,8.59
84,,Slovenia,12.01
85,,South Africa,6.22
86,,South Korea,12.92
87,,Spain,11.01
88,,Sri Lanka,11.18
89,,Sweden,9.22
90,,Switzerland,23.37
91,,Syria,5.95
92,,Taiwan,19.69
93,,Tanzania,-
94,,Thailand,16.75
95,,Trinidad And Tobago,7.05
96,,Tunisia,7.77
97,,Turkey,5.83
98,,Uganda,3.98
99,,Ukraine,7.30
100,,United Arab Emirates,9.75
101,,United Kingdom,7.08
102,,United States,11.31
103,,Uruguay,8.38
104,,Uzbekistan,5.36
105,,Venezuela,3.91
106,,Vietnam,11.72
