,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,4.91
1,,Algeria,3.16
2,,Argentina,8.00
3,,Armenia,3.63
4,,Australia,16.66
5,,Austria,12.25
6,,Azerbaijan,8.92
7,,Bahrain,7.96
8,,Bangladesh,3.23
9,,Belarus,5.00
10,,Belgium,12.93
11,,Bosnia And Herzegovina,4.16
12,,Brazil,8.92
13,,Bulgaria,6.97
14,,Cambodia,3.50
15,,Canada,11.06
16,,Chile,7.27
17,,China,11.20
18,,Colombia,5.27
19,,Costa Rica,5.42
20,,Croatia,6.29
21,,Cyprus,10.89
22,,Czech Republic,7.43
23,,Denmark,16.41
24,,Dominican Republic,5.78
25,,Ecuador,5.00
26,,Egypt,4.90
27,,Estonia,8.16
28,,Finland,16.33
29,,France,13.61
30,,Georgia,5.65
31,,Germany,12.25
32,,Greece,9.53
33,,Hong Kong,10.32
34,,Hungary,6.74
35,,Iceland,11.49
36,,India,3.38
37,,Indonesia,4.27
38,,Iran,2.10
39,,Iraq,9.00
40,,Ireland,13.61
41,,Israel,10.93
42,,Italy,10.89
43,,Jamaica,9.00
44,,Japan,17.65
45,,Jordan,11.28
46,,Kazakhstan,6.54
47,,Kenya,5.98
48,,Kuwait,12.42
49,,Latvia,8.16
50,,Lebanon,10.00
51,,Lithuania,7.34
52,,Luxembourg,12.25
53,,Macedonia,3.98
54,,Malaysia,4.34
55,,Malta,9.53
56,,Mexico,4.66
57,,Morocco,6.80
58,,Nepal,3.11
59,,Netherlands,13.61
60,,New Zealand,13.55
61,,Nigeria,9.22
62,,Norway,18.35
63,,Oman,9.27
64,,Pakistan,5.07
65,,Panama,5.00
66,,Peru,6.50
67,,Philippines,4.10
68,,Poland,7.23
69,,Portugal,8.16
70,,Puerto Rico,7.00
71,,Qatar,9.61
72,,Romania,6.19
73,,Russia,8.59
74,,Saudi Arabia,-
75,,Serbia,4.70
76,,Singapore,9.55
77,,Slovakia,8.16
78,,Slovenia,8.03
79,,South Africa,5.20
80,,South Korea,8.79
81,,Spain,10.75
82,,Sri Lanka,3.01
83,,Sweden,17.93
84,,Switzerland,20.05
85,,Taiwan,10.15
86,,Thailand,5.02
87,,Trinidad And Tobago,6.20
88,,Tunisia,6.13
89,,Turkey,6.67
90,,Ukraine,4.24
91,,United Arab Emirates,9.53
92,,United Kingdom,15.07
93,,United States,10.00
94,,Uruguay,8.66
95,,Venezuela,12.00
96,,Vietnam,3.78
