,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,4.10
1,,Algeria,4.56
2,,Argentina,8.72
3,,Armenia,4.18
4,,Australia,13.41
5,,Austria,11.35
6,,Azerbaijan,4.65
7,,Bahrain,7.96
8,,Bangladesh,4.45
9,,Belarus,3.54
10,,Belgium,11.92
11,,Bolivia,5.82
12,,Bosnia And Herzegovina,4.07
13,,Brazil,7.20
14,,Bulgaria,5.81
15,,Cambodia,4.00
16,,Canada,10.16
17,,Chile,6.61
18,,China,7.61
19,,Colombia,4.07
20,,Costa Rica,6.48
21,,Croatia,5.29
22,,Cyprus,9.08
23,,Czech Republic,6.72
24,,Denmark,15.27
25,,Dominican Republic,5.96
26,,Ecuador,5.50
27,,Egypt,5.07
28,,El Salvador,5.00
29,,Estonia,7.95
30,,Finland,14.76
31,,France,11.35
32,,Georgia,5.54
33,,Germany,11.35
34,,Greece,8.51
35,,Guatemala,5.89
36,,Hong Kong,11.59
37,,Hungary,5.85
38,,Iceland,11.42
39,,India,3.75
40,,Indonesia,3.79
41,,Iran,2.60
42,,Iraq,8.00
43,,Ireland,11.35
44,,Israel,10.45
45,,Italy,9.08
46,,Jamaica,10.20
47,,Japan,16.77
48,,Jordan,11.28
49,,Kazakhstan,3.60
50,,Kenya,5.93
51,,Kosovo (Disputed Territory),3.41
52,,Kuwait,11.62
53,,Latvia,6.81
54,,Lebanon,9.26
55,,Lithuania,6.81
56,,Luxembourg,10.22
57,,Macedonia,3.69
58,,Malaysia,3.70
59,,Malta,8.51
60,,Mauritius,8.07
61,,Mexico,3.77
62,,Moldova,4.55
63,,Montenegro,4.54
64,,Morocco,5.70
65,,Nepal,3.28
66,,Netherlands,11.92
67,,New Zealand,11.50
68,,Nigeria,7.54
69,,Norway,14.77
70,,Oman,9.09
71,,Pakistan,4.78
72,,Panama,6.00
73,,Peru,5.43
74,,Philippines,4.78
75,,Poland,6.53
76,,Portugal,6.81
77,,Puerto Rico,7.50
78,,Qatar,9.62
79,,Romania,6.30
80,,Russia,5.38
81,,Saudi Arabia,13.33
82,,Serbia,4.14
83,,Singapore,8.87
84,,Slovakia,7.95
85,,Slovenia,6.81
86,,South Africa,4.70
87,,South Korea,8.67
88,,Spain,9.08
89,,Sri Lanka,3.43
90,,Sweden,14.75
91,,Switzerland,18.62
92,,Taiwan,9.33
93,,Thailand,5.66
94,,Trinidad And Tobago,7.54
95,,Tunisia,3.06
96,,Turkey,5.52
97,,Ukraine,3.20
98,,United Arab Emirates,9.53
99,,United Kingdom,14.56
100,,United States,11.00
101,,Uruguay,8.16
102,,Venezuela,1.53
103,,Vietnam,4.47
104,,Zimbabwe,5.00
