,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.57
1,,Argentina,1.26
2,,Australia,2.87
3,,Austria,0.85
4,,Bahrain,0.72
5,,Bangladesh,0.37
6,,Belarus,0.69
7,,Belgium,1.14
8,,Bosnia And Herzegovina,0.67
9,,Brazil,1.06
10,,Bulgaria,0.55
11,,Cambodia,0.68
12,,Canada,2.02
13,,Chile,1.48
14,,China,0.69
15,,Colombia,1.45
16,,Costa Rica,1.91
17,,Croatia,1.02
18,,Cyprus,1.09
19,,Czech Republic,0.64
20,,Denmark,1.53
21,,Dominican Republic,0.47
22,,Ecuador,0.91
23,,Egypt,0.46
24,,Estonia,1.03
25,,Finland,1.93
26,,France,0.93
27,,Georgia,0.76
28,,Germany,0.76
29,,Greece,1.03
30,,Hong Kong,1.41
31,,Hungary,0.44
32,,Iceland,1.75
33,,India,0.38
34,,Indonesia,0.43
35,,Iran,0.41
36,,Iraq,0.56
37,,Ireland,1.63
38,,Israel,1.03
39,,Italy,0.52
40,,Japan,1.76
41,,Jordan,0.63
42,,Kazakhstan,0.64
43,,Kenya,1.05
44,,Kuwait,0.54
45,,Latvia,0.80
46,,Lebanon,0.92
47,,Lithuania,0.71
48,,Luxembourg,0.87
49,,Macedonia,0.49
50,,Malaysia,0.72
51,,Malta,0.88
52,,Mauritius,0.73
53,,Mexico,0.84
54,,Morocco,0.66
55,,Nepal,0.39
56,,Netherlands,1.08
57,,New Zealand,2.17
58,,Nigeria,1.02
59,,Norway,3.04
60,,Oman,0.49
61,,Pakistan,0.48
62,,Peru,0.90
63,,Philippines,0.75
64,,Poland,0.56
65,,Portugal,0.65
66,,Puerto Rico,1.69
67,,Qatar,0.67
68,,Romania,0.67
69,,Russia,0.93
70,,Saudi Arabia,0.61
71,,Serbia,0.50
72,,Singapore,1.26
73,,Slovakia,0.63
74,,Slovenia,0.75
75,,South Africa,1.32
76,,South Korea,1.21
77,,Spain,0.68
78,,Sri Lanka,0.50
79,,Sweden,1.96
80,,Switzerland,0.97
81,,Taiwan,0.85
82,,Tanzania,0.87
83,,Thailand,0.50
84,,Tunisia,0.34
85,,Turkey,0.58
86,,Ukraine,0.75
87,,United Arab Emirates,0.58
88,,United Kingdom,1.63
89,,United States,1.74
90,,Uruguay,1.44
91,,Venezuela,2.63
92,,Vietnam,0.50
