,Rank,City,Potato (1kg)
0,,Argentina,0.66
1,,Australia,2.55
2,,Austria,1.52
3,,Bangladesh,0.24
4,,Belgium,1.48
5,,Bosnia And Herzegovina,0.72
6,,Brazil,1.53
7,,Bulgaria,0.67
8,,Canada,1.66
9,,Chile,0.80
10,,China,0.89
11,,Colombia,0.83
12,,Costa Rica,1.02
13,,Croatia,0.79
14,,Cyprus,0.57
15,,Czech Republic,0.94
16,,Denmark,1.68
17,,Ecuador,2.25
18,,Egypt,0.47
19,,Estonia,0.68
20,,Finland,0.81
21,,France,1.75
22,,Germany,1.35
23,,Greece,1.13
24,,Hong Kong,1.33
25,,Hungary,0.67
26,,Iceland,1.20
27,,India,0.42
28,,Indonesia,0.87
29,,Iran,0.73
30,,Ireland,2.26
31,,Israel,1.20
32,,Italy,1.54
33,,Japan,3.53
34,,Jordan,0.52
35,,Latvia,0.92
36,,Lebanon,0.70
37,,Lithuania,0.52
38,,Macedonia,0.55
39,,Malaysia,1.09
40,,Malta,2.90
41,,Mexico,1.22
42,,Morocco,0.61
43,,Netherlands,2.28
44,,New Zealand,1.79
45,,Norway,3.13
46,,Pakistan,0.41
47,,Panama,1.58
48,,Peru,0.48
49,,Philippines,1.52
50,,Poland,0.52
51,,Portugal,0.90
52,,Puerto Rico,2.99
53,,Qatar,0.95
54,,Romania,0.68
55,,Russia,0.81
56,,Saudi Arabia,1.39
57,,Serbia,0.70
58,,Singapore,1.53
59,,Slovakia,0.54
60,,Slovenia,0.90
61,,South Africa,1.49
62,,South Korea,1.88
63,,Spain,0.92
64,,Sri Lanka,0.70
65,,Sweden,1.14
66,,Switzerland,2.54
67,,Syria,0.30
68,,Taiwan,1.00
69,,Thailand,1.70
70,,Tunisia,0.50
71,,Turkey,0.75
72,,Ukraine,0.47
73,,United Arab Emirates,0.82
74,,United Kingdom,2.24
75,,United States,2.02
76,,Uruguay,1.53
77,,Venezuela,-
78,,Vietnam,0.93
