,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Argentina,1.04
1,,Australia,3.88
2,,Austria,0.90
3,,Belgium,1.11
4,,Bosnia And Herzegovina,0.99
5,,Brazil,1.26
6,,Bulgaria,0.52
7,,Canada,3.27
8,,Chile,0.55
9,,China,0.60
10,,Colombia,1.02
11,,Croatia,1.17
12,,Czech Republic,0.76
13,,Denmark,1.76
14,,Ecuador,0.96
15,,Egypt,1.25
16,,Estonia,1.03
17,,Finland,3.58
18,,France,2.47
19,,Germany,1.11
20,,Greece,1.53
21,,Hong Kong,1.07
22,,Hungary,0.96
23,,India,1.50
24,,Indonesia,1.83
25,,Iran,0.92
26,,Ireland,2.57
27,,Israel,1.70
28,,Italy,1.65
29,,Japan,2.72
30,,Jordan,1.94
31,,Kazakhstan,1.00
32,,Lithuania,0.80
33,,Malaysia,2.06
34,,Malta,1.40
35,,Mexico,0.98
36,,Morocco,-
37,,Netherlands,1.04
38,,New Zealand,2.70
39,,Norway,3.71
40,,Pakistan,0.40
41,,Panama,0.36
42,,Philippines,0.73
43,,Poland,0.91
44,,Portugal,1.04
45,,Puerto Rico,1.33
46,,Qatar,-
47,,Romania,0.72
48,,Russia,1.13
49,,Saudi Arabia,1.00
50,,Serbia,0.62
51,,Singapore,4.14
52,,Slovakia,0.80
53,,Slovenia,1.19
54,,South Africa,1.19
55,,South Korea,1.60
56,,Spain,1.25
57,,Sweden,1.92
58,,Switzerland,2.29
59,,Syria,1.20
60,,Taiwan,1.37
61,,Thailand,1.74
62,,Turkey,1.80
63,,Ukraine,0.50
64,,United Arab Emirates,-
65,,United Kingdom,2.56
66,,United States,2.37
67,,Vietnam,0.75
