,Rank,City,Price per Square Meter to Buy Apartment Outside of Centre
0,,Argentina,1150.00
1,,Australia,3707.10
2,,Austria,3086.42
3,,Belgium,4320.99
4,,Bosnia And Herzegovina,953.25
5,,Brazil,1299.21
6,,Bulgaria,826.79
7,,Canada,2802.32
8,,Chile,407.52
9,,China,1674.49
10,,Colombia,-
11,,Croatia,1769.55
12,,Czech Republic,2666.02
13,,Denmark,3652.89
14,,Ecuador,750.00
15,,Egypt,856.37
16,,Estonia,1163.82
17,,Finland,4875.31
18,,France,4516.87
19,,Germany,2006.17
20,,Greece,2314.81
21,,Hong Kong,7369.68
22,,Hungary,1090.15
23,,India,754.44
24,,Indonesia,-
25,,Iran,1400.00
26,,Ireland,-
27,,Israel,1666.67
28,,Italy,2539.68
29,,Japan,3290.20
30,,Jordan,800.00
31,,Kazakhstan,1000.00
32,,Lithuania,1455.85
33,,Malaysia,-
34,,Malta,1502.06
35,,Mexico,1011.15
36,,Morocco,1637.67
37,,Netherlands,3254.32
38,,New Zealand,2981.63
39,,Norway,6203.27
40,,Pakistan,361.46
41,,Panama,950.00
42,,Philippines,399.19
43,,Poland,1590.91
44,,Portugal,1419.75
45,,Puerto Rico,-
46,,Qatar,-
47,,Romania,1129.70
48,,Russia,2244.65
49,,Saudi Arabia,670.00
50,,Serbia,1185.19
51,,Singapore,6339.96
52,,Slovakia,1222.22
53,,Slovenia,2880.66
54,,South Africa,1028.44
55,,South Korea,6485.13
56,,Spain,2469.14
57,,Sweden,4145.33
58,,Switzerland,3663.79
59,,Syria,356.67
60,,Taiwan,4070.17
61,,Thailand,1014.79
62,,Turkey,636.94
63,,Ukraine,1162.50
64,,United Arab Emirates,2586.37
65,,United Kingdom,3074.53
66,,United States,1220.81
67,,Vietnam,1250.00
