,Rank,City,Domestic Beer (0.5 liter draught)
0,,Argentina,1.50
1,,Australia,6.38
2,,Austria,4.64
3,,Bangladesh,3.00
4,,Belgium,4.49
5,,Bosnia And Herzegovina,1.78
6,,Brazil,2.53
7,,Bulgaria,1.47
8,,Canada,5.15
9,,Chile,2.00
10,,China,0.93
11,,Colombia,1.50
12,,Costa Rica,1.50
13,,Croatia,2.86
14,,Cyprus,3.25
15,,Czech Republic,1.50
16,,Denmark,7.74
17,,Ecuador,1.00
18,,Egypt,2.50
19,,Estonia,3.48
20,,Finland,7.25
21,,France,7.25
22,,Germany,4.35
23,,Greece,5.80
24,,Hong Kong,5.14
25,,Hungary,1.62
26,,Iceland,7.25
27,,India,1.67
28,,Indonesia,2.34
29,,Iran,1.57
30,,Ireland,6.01
31,,Israel,6.72
32,,Italy,5.80
33,,Japan,6.45
34,,Jordan,3.23
35,,Latvia,2.47
36,,Lebanon,2.00
37,,Lithuania,2.10
38,,Macedonia,2.03
39,,Malaysia,2.67
40,,Malta,3.62
41,,Mexico,2.07
42,,Morocco,2.96
43,,Netherlands,5.80
44,,New Zealand,4.96
45,,Norway,11.66
46,,Pakistan,2.90
47,,Panama,1.12
48,,Peru,1.44
49,,Philippines,0.81
50,,Poland,1.82
51,,Portugal,2.90
52,,Puerto Rico,1.38
53,,Qatar,9.61
54,,Romania,1.40
55,,Russia,1.79
56,,Saudi Arabia,0.80
57,,Serbia,1.74
58,,Singapore,4.88
59,,Slovakia,1.45
60,,Slovenia,3.04
61,,South Africa,2.21
62,,South Korea,2.33
63,,Spain,2.90
64,,Sri Lanka,1.43
65,,Sweden,8.13
66,,Switzerland,5.88
67,,Syria,2.00
68,,Taiwan,1.65
69,,Thailand,1.66
70,,Tunisia,3.09
71,,Turkey,3.14
72,,Ukraine,0.80
73,,United Arab Emirates,9.00
74,,United Kingdom,4.92
75,,United States,3.00
76,,Uruguay,2.00
77,,Venezuela,2.00
78,,Vietnam,1.00
