,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,0.89
1,,Algeria,1.51
2,,Argentina,3.25
3,,Armenia,0.94
4,,Australia,5.32
5,,Austria,3.83
6,,Azerbaijan,1.67
7,,Bahrain,4.64
8,,Bangladesh,3.21
9,,Belarus,1.28
10,,Belgium,3.39
11,,Bosnia And Herzegovina,1.40
12,,Brazil,1.67
13,,Bulgaria,1.12
14,,Cambodia,1.00
15,,Canada,4.62
16,,Chile,2.08
17,,China,0.97
18,,Colombia,0.97
19,,Costa Rica,2.15
20,,Croatia,2.02
21,,Cyprus,3.28
22,,Czech Republic,1.19
23,,Denmark,6.59
24,,Dominican Republic,2.23
25,,Ecuador,1.12
26,,Egypt,1.51
27,,Estonia,3.28
28,,Finland,6.56
29,,France,5.46
30,,Georgia,0.87
31,,Germany,3.28
32,,Greece,3.83
33,,Guatemala,1.56
34,,Hong Kong,5.16
35,,Hungary,1.06
36,,Iceland,7.40
37,,India,1.57
38,,Indonesia,2.27
39,,Iran,6.30
40,,Iraq,2.00
41,,Ireland,5.46
42,,Israel,7.23
43,,Italy,4.37
44,,Jamaica,2.16
45,,Japan,3.20
46,,Jordan,5.65
47,,Kazakhstan,1.34
48,,Kenya,2.05
49,,Kuwait,1.82
50,,Latvia,2.19
51,,Lebanon,1.50
52,,Lithuania,2.19
53,,Luxembourg,4.92
54,,Macedonia,1.41
55,,Malaysia,2.71
56,,Malta,2.73
57,,Mauritius,2.12
58,,Mexico,1.29
59,,Moldova,0.83
60,,Montenegro,1.64
61,,Morocco,2.54
62,,Nepal,1.82
63,,Netherlands,4.37
64,,New Zealand,5.67
65,,Nigeria,1.26
66,,Norway,9.94
67,,Oman,7.79
68,,Pakistan,2.94
69,,Panama,1.50
70,,Peru,1.27
71,,Philippines,0.90
72,,Poland,1.86
73,,Portugal,1.64
74,,Puerto Rico,2.00
75,,Qatar,12.36
76,,Romania,1.23
77,,Russia,1.31
78,,Saudi Arabia,0.80
79,,Serbia,1.36
80,,Singapore,5.16
81,,Slovakia,1.31
82,,Slovenia,2.51
83,,South Africa,1.63
84,,South Korea,2.69
85,,Spain,2.19
86,,Sri Lanka,1.49
87,,Sweden,7.00
88,,Switzerland,6.87
89,,Taiwan,1.62
90,,Tanzania,1.18
91,,Thailand,1.65
92,,Trinidad And Tobago,1.66
93,,Tunisia,1.52
94,,Turkey,2.98
95,,Ukraine,0.60
96,,United Arab Emirates,9.53
97,,United Kingdom,5.32
98,,United States,4.00
99,,Uruguay,2.98
100,,Venezuela,3.00
101,,Vietnam,0.76
102,,Zimbabwe,1.00
