,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Argentina,38.27
1,,Australia,73.14
2,,Austria,66.67
3,,Bangladesh,66.14
4,,Belgium,84.68
5,,Bosnia And Herzegovina,28.99
6,,Brazil,71.11
7,,Bulgaria,50.55
8,,Canada,51.62
9,,Chile,57.98
10,,China,30.41
11,,Colombia,38.86
12,,Costa Rica,31.83
13,,Croatia,41.87
14,,Cyprus,78.62
15,,Czech Republic,49.21
16,,Denmark,63.10
17,,Ecuador,42.50
18,,Egypt,41.08
19,,Estonia,77.78
20,,Finland,80.75
21,,France,79.85
22,,Germany,66.72
23,,Greece,65.92
24,,Hong Kong,65.55
25,,Hungary,47.46
26,,Iceland,60.87
27,,India,22.97
28,,Indonesia,44.57
29,,Iran,36.11
30,,Ireland,60.24
31,,Israel,82.64
32,,Italy,76.88
33,,Japan,119.14
34,,Jordan,58.61
35,,Latvia,63.77
36,,Lebanon,90.00
37,,Lithuania,58.76
38,,Macedonia,18.63
39,,Malaysia,47.45
40,,Malta,42.03
41,,Mexico,48.53
42,,Morocco,94.20
43,,Netherlands,57.49
44,,New Zealand,61.07
45,,Norway,90.13
46,,Pakistan,23.60
47,,Panama,50.00
48,,Peru,37.16
49,,Philippines,28.44
50,,Poland,43.19
51,,Portugal,74.92
52,,Puerto Rico,33.75
53,,Qatar,94.76
54,,Romania,33.51
55,,Russia,56.81
56,,Saudi Arabia,76.67
57,,Serbia,28.09
58,,Singapore,94.67
59,,Slovakia,48.31
60,,Slovenia,75.36
61,,South Africa,54.70
62,,South Korea,68.36
63,,Spain,64.17
64,,Sri Lanka,13.62
65,,Sweden,54.74
66,,Switzerland,113.73
67,,Syria,48.33
68,,Taiwan,41.81
69,,Thailand,33.88
70,,Tunisia,35.00
71,,Turkey,65.27
72,,Ukraine,37.92
73,,United Arab Emirates,93.25
74,,United Kingdom,63.71
75,,United States,41.85
76,,Uruguay,60.50
77,,Venezuela,37.50
78,,Vietnam,65.00
