,Rank,City,Loaf of Fresh White Bread (500g)
0,,Albania,0.50
1,,Algeria,0.15
2,,Argentina,2.02
3,,Armenia,0.49
4,,Australia,1.91
5,,Austria,1.99
6,,Azerbaijan,0.29
7,,Bahrain,1.19
8,,Bangladesh,0.52
9,,Belarus,0.50
10,,Belgium,1.81
11,,Bolivia,1.05
12,,Bosnia And Herzegovina,0.57
13,,Brazil,1.66
14,,Bulgaria,0.56
15,,Cambodia,1.10
16,,Canada,2.03
17,,Chile,1.25
18,,China,1.50
19,,Colombia,1.00
20,,Costa Rica,1.68
21,,Croatia,0.87
22,,Cyprus,1.51
23,,Czech Republic,0.92
24,,Denmark,2.42
25,,Dominican Republic,1.55
26,,Ecuador,1.60
27,,Egypt,0.45
28,,Estonia,0.82
29,,Finland,1.95
30,,France,1.54
31,,Georgia,0.36
32,,Germany,1.55
33,,Greece,0.94
34,,Guatemala,2.26
35,,Hong Kong,2.10
36,,Hungary,0.66
37,,Iceland,3.70
38,,India,0.46
39,,Indonesia,1.04
40,,Iran,0.46
41,,Iraq,0.89
42,,Ireland,1.40
43,,Israel,1.89
44,,Italy,1.66
45,,Jamaica,-
46,,Japan,1.62
47,,Jordan,0.27
48,,Kazakhstan,0.29
49,,Kenya,0.51
50,,Kosovo (Disputed Territory),0.29
51,,Kuwait,0.99
52,,Latvia,0.86
53,,Lebanon,0.80
54,,Lithuania,1.07
55,,Luxembourg,2.12
56,,Macedonia,0.50
57,,Malaysia,0.77
58,,Malta,1.07
59,,Mauritius,-
60,,Mexico,1.51
61,,Moldova,0.35
62,,Montenegro,0.60
63,,Morocco,0.37
64,,Nepal,0.61
65,,Netherlands,1.34
66,,New Zealand,1.70
67,,Nigeria,1.08
68,,Norway,2.92
69,,Oman,1.12
70,,Pakistan,0.54
71,,Panama,1.76
72,,Peru,1.48
73,,Philippines,1.09
74,,Poland,0.73
75,,Portugal,1.20
76,,Puerto Rico,2.67
77,,Qatar,1.49
78,,Romania,0.56
79,,Russia,0.58
80,,Saudi Arabia,0.72
81,,Serbia,0.40
82,,Singapore,1.77
83,,Slovakia,0.98
84,,Slovenia,1.42
85,,South Africa,0.97
86,,South Korea,2.68
87,,Spain,1.14
88,,Sri Lanka,0.49
89,,Sweden,2.46
90,,Switzerland,2.73
91,,Taiwan,1.71
92,,Tanzania,0.55
93,,Thailand,1.22
94,,Trinidad And Tobago,1.67
95,,Tunisia,0.12
96,,Turkey,0.47
97,,Ukraine,0.36
98,,United Arab Emirates,1.25
99,,United Kingdom,1.23
100,,United States,2.58
101,,Uruguay,2.07
102,,Venezuela,0.94
103,,Vietnam,0.60
104,,Zimbabwe,0.94
