,Rank,City,Monthly Pass (Regular Price)
0,,Albania,9.30
1,,Algeria,11.05
2,,Argentina,26.00
3,,Armenia,12.54
4,,Australia,98.87
5,,Austria,51.31
6,,Azerbaijan,14.27
7,,Bahrain,-
8,,Bangladesh,10.29
9,,Belarus,14.35
10,,Belgium,53.55
11,,Bosnia And Herzegovina,27.91
12,,Brazil,47.11
13,,Bulgaria,27.93
14,,Cambodia,-
15,,Canada,74.14
16,,Chile,48.05
17,,China,27.02
18,,Colombia,28.07
19,,Costa Rica,56.05
20,,Croatia,51.95
21,,Cyprus,43.72
22,,Czech Republic,21.89
23,,Denmark,58.60
24,,Dominican Republic,-
25,,Ecuador,15.00
26,,Egypt,9.18
27,,Estonia,25.14
28,,Finland,54.64
29,,France,75.41
30,,Georgia,10.43
31,,Germany,76.50
32,,Greece,32.79
33,,Guatemala,-
34,,Hong Kong,58.02
35,,Hungary,33.61
36,,Iceland,80.68
37,,India,9.43
38,,Indonesia,11.35
39,,Iran,15.00
40,,Iraq,-
41,,Ireland,109.29
42,,Israel,63.51
43,,Italy,38.25
44,,Jamaica,-
45,,Japan,80.12
46,,Jordan,45.88
47,,Kazakhstan,32.26
48,,Kenya,25.60
49,,Kuwait,49.50
50,,Latvia,54.64
51,,Lebanon,-
52,,Lithuania,31.65
53,,Luxembourg,27.32
54,,Macedonia,21.22
55,,Malaysia,27.08
56,,Malta,28.42
57,,Mauritius,-
58,,Mexico,22.57
59,,Moldova,6.61
60,,Montenegro,24.04
61,,Morocco,15.24
62,,Nepal,-
63,,Netherlands,85.25
64,,New Zealand,106.35
65,,Nigeria,-
66,,Norway,85.54
67,,Oman,-
68,,Pakistan,9.81
69,,Panama,-
70,,Peru,23.76
71,,Philippines,11.22
72,,Poland,26.55
73,,Portugal,38.96
74,,Puerto Rico,37.50
75,,Qatar,-
76,,Romania,14.75
77,,Russia,28.07
78,,Saudi Arabia,53.33
79,,Serbia,28.96
80,,Singapore,68.95
81,,Slovakia,28.42
82,,Slovenia,40.44
83,,South Africa,32.60
84,,South Korea,47.04
85,,Spain,54.64
86,,Sri Lanka,7.47
87,,Sweden,92.22
88,,Switzerland,80.38
89,,Taiwan,32.39
90,,Tanzania,-
91,,Thailand,29.66
92,,Trinidad And Tobago,-
93,,Tunisia,12.70
94,,Turkey,59.62
95,,Ukraine,9.50
96,,United Arab Emirates,54.45
97,,United Kingdom,102.60
98,,United States,75.00
99,,Uruguay,52.94
100,,Venezuela,10.50
101,,Vietnam,6.88
102,,Zimbabwe,-
