,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,4.78
1,,Algeria,3.34
2,,Argentina,6.26
3,,Armenia,4.16
4,,Australia,8.33
5,,Austria,8.95
6,,Azerbaijan,4.70
7,,Bahrain,6.63
8,,Bangladesh,5.33
9,,Belarus,4.95
10,,Belgium,8.95
11,,Bolivia,5.06
12,,Bosnia And Herzegovina,4.56
13,,Brazil,6.37
14,,Brunei,5.64
15,,Bulgaria,4.57
16,,Cambodia,6.00
17,,Canada,7.39
18,,Chile,6.34
19,,China,4.78
20,,Colombia,4.48
21,,Costa Rica,6.81
22,,Croatia,6.02
23,,Cyprus,6.72
24,,Czech Republic,5.83
25,,Denmark,11.22
26,,Dominican Republic,6.60
27,,Ecuador,5.75
28,,Egypt,4.49
29,,El Salvador,5.62
30,,Estonia,6.72
31,,Ethiopia,3.27
32,,Finland,8.95
33,,France,9.18
34,,Georgia,4.49
35,,Germany,8.95
36,,Greece,6.72
37,,Guatemala,6.03
38,,Honduras,5.20
39,,Hong Kong,4.46
40,,Hungary,5.16
41,,Iceland,13.58
42,,India,3.59
43,,Indonesia,3.42
44,,Iran,5.00
45,,Iraq,7.02
46,,Ireland,8.95
47,,Israel,13.78
48,,Italy,8.95
49,,Jamaica,5.17
50,,Japan,6.28
51,,Jordan,7.05
52,,Kazakhstan,4.44
53,,Kenya,6.91
54,,Kosovo (Disputed Territory),4.76
55,,Kuwait,6.57
56,,Latvia,5.60
57,,Lebanon,8.00
58,,Lithuania,5.60
59,,Luxembourg,11.19
60,,Macedonia,3.25
61,,Malaysia,3.58
62,,Malta,8.95
63,,Mauritius,5.59
64,,Mexico,4.84
65,,Moldova,5.21
66,,Montenegro,3.36
67,,Morocco,5.87
68,,Namibia,-
69,,Nepal,6.71
70,,Netherlands,8.95
71,,New Zealand,7.84
72,,Nigeria,5.00
73,,Norway,12.56
74,,Oman,6.50
75,,Pakistan,4.43
76,,Palestinian Territory,6.89
77,,Panama,7.00
78,,Peru,4.60
79,,Philippines,2.88
80,,Poland,5.22
81,,Portugal,6.72
82,,Puerto Rico,7.99
83,,Qatar,6.87
84,,Romania,4.71
85,,Russia,4.58
86,,Saudi Arabia,6.40
87,,Serbia,5.21
88,,Singapore,5.82
89,,Slovakia,6.27
90,,Slovenia,5.60
91,,South Africa,4.11
92,,South Korea,5.47
93,,Spain,7.84
94,,Sri Lanka,4.96
95,,Sweden,8.42
96,,Switzerland,14.00
97,,Taiwan,4.11
98,,Thailand,5.72
99,,Trinidad And Tobago,5.90
100,,Tunisia,3.00
101,,Turkey,3.77
102,,Uganda,-
103,,Ukraine,3.71
104,,United Arab Emirates,6.81
105,,United Kingdom,7.32
106,,United States,7.95
107,,Uruguay,7.94
108,,Uzbekistan,2.25
109,,Venezuela,4.50
110,,Vietnam,4.29
