,Rank,City,"Meal, Inexpensive Restaurant"
0,,Albania,5.64
1,,Algeria,2.77
2,,Argentina,10.68
3,,Armenia,6.23
4,,Australia,12.79
5,,Austria,11.20
6,,Azerbaijan,4.72
7,,Bahrain,6.63
8,,Bangladesh,2.23
9,,Belarus,6.59
10,,Belgium,16.79
11,,Bolivia,3.60
12,,Bosnia And Herzegovina,4.00
13,,Brazil,6.07
14,,Bulgaria,5.72
15,,Cambodia,3.00
16,,Canada,11.14
17,,Chile,7.54
18,,China,3.68
19,,Colombia,3.43
20,,Costa Rica,7.05
21,,Croatia,6.80
22,,Cyprus,11.20
23,,Czech Republic,5.13
24,,Denmark,18.06
25,,Dominican Republic,7.42
26,,Ecuador,3.50
27,,Egypt,2.76
28,,Estonia,7.84
29,,Finland,13.43
30,,France,14.55
31,,Georgia,6.22
32,,Germany,11.20
33,,Greece,11.20
34,,Guatemala,4.77
35,,Hong Kong,7.05
36,,Hungary,5.46
37,,Iceland,22.29
38,,India,2.64
39,,Indonesia,2.26
40,,Iran,5.29
41,,Iraq,6.01
42,,Ireland,16.79
43,,Israel,16.70
44,,Italy,16.79
45,,Jamaica,4.44
46,,Japan,8.16
47,,Jordan,7.04
48,,Kazakhstan,6.34
49,,Kenya,4.84
50,,Kosovo (Disputed Territory),2.46
51,,Kuwait,4.94
52,,Latvia,7.84
53,,Lebanon,10.00
54,,Lithuania,7.84
55,,Luxembourg,19.03
56,,Macedonia,4.54
57,,Malaysia,2.34
58,,Malta,13.43
59,,Mauritius,5.76
60,,Mexico,5.50
61,,Moldova,4.68
62,,Montenegro,5.60
63,,Morocco,3.07
64,,Nepal,2.44
65,,Netherlands,16.79
66,,New Zealand,11.54
67,,Nigeria,1.59
68,,Norway,20.00
69,,Oman,5.20
70,,Pakistan,1.91
71,,Panama,8.00
72,,Peru,3.06
73,,Philippines,3.03
74,,Poland,5.35
75,,Portugal,7.84
76,,Puerto Rico,10.00
77,,Qatar,8.20
78,,Romania,6.13
79,,Russia,8.77
80,,Saudi Arabia,5.07
81,,Serbia,5.49
82,,Singapore,9.93
83,,Slovakia,5.60
84,,Slovenia,8.96
85,,South Africa,8.51
86,,South Korea,6.22
87,,Spain,11.20
88,,Sri Lanka,1.64
89,,Sweden,11.47
90,,Switzerland,25.79
91,,Taiwan,3.99
92,,Tanzania,3.36
93,,Thailand,1.76
94,,Trinidad And Tobago,6.70
95,,Tunisia,2.06
96,,Turkey,5.66
97,,Ukraine,3.83
98,,United Arab Emirates,8.17
99,,United Kingdom,15.29
100,,United States,14.00
101,,Uruguay,14.06
102,,Venezuela,2.92
103,,Vietnam,1.76
104,,Zimbabwe,5.00
