,Rank,City,Domestic Beer (0.5 liter draught)
0,,Albania,0.98
1,,Algeria,1.32
2,,Argentina,2.18
3,,Armenia,1.05
4,,Australia,5.22
5,,Austria,4.09
6,,Azerbaijan,0.96
7,,Bahrain,7.96
8,,Bangladesh,3.18
9,,Belarus,0.93
10,,Belgium,3.97
11,,Bolivia,2.18
12,,Bosnia And Herzegovina,1.45
13,,Brazil,1.73
14,,Bulgaria,1.16
15,,Cambodia,1.00
16,,Canada,4.69
17,,Chile,2.20
18,,China,0.91
19,,Colombia,1.01
20,,Costa Rica,1.99
21,,Croatia,2.11
22,,Cyprus,3.29
23,,Czech Republic,1.26
24,,Denmark,6.87
25,,Dominican Republic,2.18
26,,Ecuador,1.20
27,,Egypt,1.69
28,,El Salvador,1.62
29,,Estonia,2.84
30,,Finland,6.81
31,,France,5.68
32,,Georgia,0.94
33,,Germany,3.97
34,,Greece,3.97
35,,Guatemala,1.96
36,,Hong Kong,5.15
37,,Hungary,1.28
38,,Iceland,8.57
39,,India,1.50
40,,Indonesia,2.27
41,,Iran,5.00
42,,Iraq,1.35
43,,Ireland,5.68
44,,Israel,7.05
45,,Italy,4.54
46,,Jamaica,2.04
47,,Japan,3.26
48,,Jordan,5.64
49,,Kazakhstan,0.90
50,,Kenya,1.98
51,,Kosovo (Disputed Territory),1.70
52,,Kuwait,1.66
53,,Latvia,2.27
54,,Lebanon,1.33
55,,Lithuania,2.38
56,,Luxembourg,4.54
57,,Macedonia,1.48
58,,Malaysia,2.96
59,,Malta,2.84
60,,Mauritius,1.91
61,,Mexico,1.35
62,,Moldova,0.76
63,,Montenegro,1.70
64,,Morocco,2.59
65,,Nepal,1.87
66,,Netherlands,4.54
67,,New Zealand,5.58
68,,Nigeria,1.51
69,,Norway,9.85
70,,Oman,7.79
71,,Pakistan,2.39
72,,Panama,1.50
73,,Peru,1.51
74,,Philippines,1.02
75,,Poland,1.83
76,,Portugal,1.70
77,,Puerto Rico,2.00
78,,Qatar,12.09
79,,Romania,1.26
80,,Russia,1.08
81,,Saudi Arabia,0.80
82,,Serbia,1.38
83,,Singapore,5.91
84,,Slovakia,1.48
85,,Slovenia,2.61
86,,South Africa,1.68
87,,South Korea,2.60
88,,Spain,2.27
89,,Sri Lanka,2.06
90,,Sweden,7.37
91,,Switzerland,7.24
92,,Taiwan,1.48
93,,Thailand,1.70
94,,Trinidad And Tobago,1.51
95,,Tunisia,1.41
96,,Turkey,2.76
97,,Ukraine,0.60
98,,United Arab Emirates,10.21
99,,United Kingdom,5.10
100,,United States,4.00
101,,Uruguay,2.28
102,,Venezuela,0.80
103,,Vietnam,0.81
104,,Zimbabwe,1.70
