,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,4.19
1,,Algeria,4.62
2,,Argentina,9.43
3,,Armenia,5.19
4,,Australia,13.55
5,,Austria,11.20
6,,Azerbaijan,4.13
7,,Bahrain,7.95
8,,Bangladesh,4.34
9,,Belarus,3.92
10,,Belgium,11.53
11,,Bolivia,6.48
12,,Bosnia And Herzegovina,4.00
13,,Brazil,7.59
14,,Bulgaria,5.72
15,,Cambodia,5.00
16,,Canada,9.65
17,,Chile,6.78
18,,China,7.35
19,,Colombia,4.12
20,,Costa Rica,6.16
21,,Croatia,5.29
22,,Cyprus,8.96
23,,Czech Republic,7.27
24,,Denmark,15.05
25,,Dominican Republic,5.30
26,,Ecuador,6.00
27,,Egypt,3.31
28,,Estonia,8.12
29,,Finland,14.55
30,,France,11.20
31,,Georgia,4.98
32,,Germany,11.20
33,,Greece,8.40
34,,Guatemala,6.13
35,,Hong Kong,12.83
36,,Hungary,6.19
37,,Iceland,15.09
38,,India,3.88
39,,Indonesia,3.76
40,,Iran,3.08
41,,Iraq,8.60
42,,Ireland,11.20
43,,Israel,11.32
44,,Italy,8.96
45,,Jamaica,9.07
46,,Japan,16.32
47,,Jordan,11.26
48,,Kazakhstan,4.75
49,,Kenya,6.77
50,,Kosovo (Disputed Territory),3.36
51,,Kuwait,11.53
52,,Latvia,7.73
53,,Lebanon,10.00
54,,Lithuania,7.28
55,,Luxembourg,10.08
56,,Macedonia,4.54
57,,Malaysia,3.52
58,,Malta,8.96
59,,Mauritius,7.19
60,,Mexico,3.85
61,,Moldova,5.51
62,,Montenegro,4.76
63,,Morocco,5.12
64,,Nepal,3.41
65,,Netherlands,12.32
66,,New Zealand,11.54
67,,Nigeria,4.77
68,,Norway,14.71
69,,Oman,7.79
70,,Pakistan,4.78
71,,Panama,6.00
72,,Peru,5.28
73,,Philippines,5.05
74,,Poland,6.69
75,,Portugal,7.28
76,,Puerto Rico,8.00
77,,Qatar,10.39
78,,Romania,6.13
79,,Russia,6.14
80,,Saudi Arabia,13.33
81,,Serbia,4.11
82,,Singapore,8.67
83,,Slovakia,7.84
84,,Slovenia,7.17
85,,South Africa,5.80
86,,South Korea,8.89
87,,Spain,8.96
88,,Sri Lanka,3.61
89,,Sweden,14.34
90,,Switzerland,18.57
91,,Taiwan,9.97
92,,Tanzania,4.48
93,,Thailand,5.87
94,,Trinidad And Tobago,7.44
95,,Tunisia,3.29
96,,Turkey,5.09
97,,Ukraine,3.06
98,,United Arab Emirates,9.53
99,,United Kingdom,12.74
100,,United States,12.00
101,,Uruguay,8.79
102,,Venezuela,1.00
103,,Vietnam,3.97
104,,Zimbabwe,7.00
