,Rank,City,1 Pair of Jeans (Levis 501 Or Similar)
0,,Argentina,97.59
1,,Australia,105.64
2,,Austria,135.87
3,,Bangladesh,30.00
4,,Belgium,124.22
5,,Bosnia And Herzegovina,93.00
6,,Brazil,110.61
7,,Bulgaria,99.74
8,,Canada,55.82
9,,Chile,73.43
10,,China,78.25
11,,Colombia,91.05
12,,Costa Rica,55.00
13,,Croatia,96.79
14,,Cyprus,111.01
15,,Czech Republic,127.67
16,,Denmark,121.58
17,,Ecuador,100.00
18,,Egypt,120.00
19,,Estonia,135.87
20,,Finland,124.80
21,,France,118.84
22,,Germany,120.91
23,,Greece,132.45
24,,Hong Kong,93.63
25,,Hungary,114.64
26,,Iceland,121.74
27,,India,43.77
28,,Indonesia,53.89
29,,Iran,77.14
30,,Ireland,106.62
31,,Israel,91.36
32,,Italy,128.02
33,,Japan,86.80
34,,Jordan,44.59
35,,Latvia,92.78
36,,Lebanon,80.00
37,,Lithuania,111.93
38,,Macedonia,63.77
39,,Malaysia,82.07
40,,Malta,82.13
41,,Mexico,57.80
42,,Morocco,57.97
43,,Netherlands,125.90
44,,New Zealand,86.09
45,,Norway,126.87
46,,Pakistan,41.17
47,,Panama,58.33
48,,Peru,90.00
49,,Philippines,58.61
50,,Poland,88.39
51,,Portugal,119.19
52,,Puerto Rico,37.40
53,,Qatar,73.99
54,,Romania,91.19
55,,Russia,109.90
56,,Saudi Arabia,73.80
57,,Serbia,106.38
58,,Singapore,91.33
59,,Slovakia,96.38
60,,Slovenia,126.81
61,,South Africa,92.36
62,,South Korea,87.27
63,,Spain,127.47
64,,Sri Lanka,50.00
65,,Sweden,136.68
66,,Switzerland,151.55
67,,Syria,72.50
68,,Taiwan,57.50
69,,Thailand,40.65
70,,Tunisia,99.00
71,,Turkey,75.55
72,,Ukraine,85.17
73,,United Arab Emirates,88.20
74,,United Kingdom,84.94
75,,United States,39.03
76,,Uruguay,101.00
77,,Venezuela,79.40
78,,Vietnam,50.00
