,Rank,City,One-way Ticket (Local Transport)
0,,Albania,0.36
1,,Algeria,0.23
2,,Argentina,0.35
3,,Armenia,0.21
4,,Australia,2.96
5,,Austria,2.67
6,,Azerbaijan,0.18
7,,Bahrain,0.80
8,,Bangladesh,0.47
9,,Belarus,0.29
10,,Belgium,2.73
11,,Bolivia,0.29
12,,Bosnia And Herzegovina,1.02
13,,Brazil,0.82
14,,Bulgaria,0.91
15,,Cambodia,-
16,,Canada,2.37
17,,Chile,1.00
18,,China,0.42
19,,Colombia,0.68
20,,Costa Rica,0.88
21,,Croatia,1.17
22,,Cyprus,1.67
23,,Czech Republic,0.99
24,,Denmark,3.58
25,,Dominican Republic,0.53
26,,Ecuador,0.30
27,,Egypt,0.32
28,,Estonia,1.67
29,,Finland,3.17
30,,France,2.00
31,,Georgia,0.16
32,,Germany,3.23
33,,Ghana,0.65
34,,Greece,1.56
35,,Guatemala,0.26
36,,Hong Kong,1.29
37,,Hungary,1.12
38,,Iceland,3.54
39,,India,0.33
40,,Indonesia,0.31
41,,Iran,0.26
42,,Iraq,0.42
43,,Ireland,3.12
44,,Israel,1.68
45,,Italy,1.67
46,,Japan,1.95
47,,Jordan,0.71
48,,Kazakhstan,0.24
49,,Kenya,0.75
50,,Kosovo (Disputed Territory),0.45
51,,Kuwait,0.81
52,,Latvia,1.28
53,,Lebanon,1.98
54,,Lithuania,1.11
55,,Luxembourg,0.00
56,,Malaysia,0.69
57,,Malta,1.67
58,,Mauritius,0.75
59,,Mexico,0.45
60,,Moldova,0.11
61,,Montenegro,1.11
62,,Morocco,0.51
63,,Nepal,0.17
64,,Netherlands,3.56
65,,New Zealand,2.18
66,,Nigeria,0.52
67,,North Macedonia,0.63
68,,Norway,3.83
69,,Oman,1.30
70,,Pakistan,0.18
71,,Panama,0.35
72,,Peru,0.49
73,,Philippines,0.22
74,,Poland,0.90
75,,Portugal,1.78
76,,Puerto Rico,1.75
77,,Qatar,0.82
78,,Romania,0.57
79,,Russia,0.57
80,,Saudi Arabia,0.84
81,,Serbia,0.85
82,,Singapore,1.28
83,,Slovakia,1.00
84,,Slovenia,1.45
85,,South Africa,1.15
86,,South Korea,1.02
87,,Spain,1.67
88,,Sri Lanka,0.11
89,,Sweden,3.73
90,,Switzerland,3.75
91,,Syria,0.10
92,,Taiwan,0.67
93,,Tanzania,0.22
94,,Thailand,0.95
95,,Trinidad And Tobago,1.18
96,,Tunisia,0.22
97,,Turkey,0.51
98,,Uganda,0.53
99,,Ukraine,0.30
100,,United Arab Emirates,1.36
101,,United Kingdom,3.10
102,,United States,2.50
103,,Uruguay,0.92
104,,Uzbekistan,0.14
105,,Venezuela,0.25
106,,Vietnam,0.30
