,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Argentina,1.47
1,,Australia,13.14
2,,Austria,4.94
3,,Belgium,5.86
4,,Bosnia And Herzegovina,2.47
5,,Brazil,2.20
6,,Bulgaria,3.09
7,,Canada,10.38
8,,Chile,3.00
9,,China,1.99
10,,Colombia,2.00
11,,Croatia,3.70
12,,Czech Republic,3.88
13,,Denmark,6.12
14,,Ecuador,11.79
15,,Egypt,2.38
16,,Estonia,3.35
17,,Finland,6.17
18,,France,6.79
19,,Germany,5.99
20,,Greece,4.69
21,,Hong Kong,5.19
22,,Hungary,3.09
23,,India,2.16
24,,Indonesia,1.24
25,,Iran,2.50
26,,Ireland,10.62
27,,Israel,6.20
28,,Italy,5.80
29,,Japan,3.95
30,,Jordan,2.50
31,,Kazakhstan,1.50
32,,Lithuania,3.05
33,,Malaysia,2.85
34,,Malta,4.94
35,,Mexico,2.32
36,,Morocco,4.32
37,,Netherlands,6.05
38,,New Zealand,8.84
39,,Norway,12.06
40,,Pakistan,0.90
41,,Panama,2.00
42,,Philippines,0.76
43,,Poland,3.33
44,,Portugal,4.57
45,,Puerto Rico,5.08
46,,Qatar,16.50
47,,Romania,3.08
48,,Russia,1.55
49,,Saudi Arabia,1.86
50,,Serbia,1.85
51,,Singapore,8.00
52,,Slovakia,3.83
53,,Slovenia,3.70
54,,South Africa,3.39
55,,South Korea,2.13
56,,Spain,4.75
57,,Sweden,6.12
58,,Switzerland,6.03
59,,Syria,2.00
60,,Taiwan,2.50
61,,Thailand,2.36
62,,Turkey,4.46
63,,Ukraine,1.25
64,,United Arab Emirates,2.12
65,,United Kingdom,8.70
66,,United States,5.89
67,,Vietnam,1.10
