,Rank,City,1 Pair of Nike Running Shoes (Mid-Range)
0,,Argentina,116.51
1,,Australia,142.84
2,,Austria,132.85
3,,Bangladesh,69.54
4,,Belgium,113.53
5,,Bosnia And Herzegovina,93.00
6,,Brazil,183.92
7,,Bulgaria,98.35
8,,Canada,101.43
9,,Chile,82.43
10,,China,84.15
11,,Colombia,94.20
12,,Costa Rica,100.00
13,,Croatia,104.76
14,,Cyprus,128.41
15,,Czech Republic,105.02
16,,Denmark,147.83
17,,Ecuador,120.00
18,,Egypt,112.67
19,,Estonia,130.43
20,,Finland,96.81
21,,France,111.11
22,,Germany,110.42
23,,Greece,137.63
24,,Hong Kong,78.28
25,,Hungary,110.93
26,,Iceland,215.15
27,,India,62.98
28,,Indonesia,72.20
29,,Iran,121.00
30,,Ireland,104.67
31,,Israel,128.07
32,,Italy,127.10
33,,Japan,97.03
34,,Jordan,85.00
35,,Latvia,113.13
36,,Lebanon,133.33
37,,Lithuania,116.93
38,,Macedonia,132.51
39,,Malaysia,87.14
40,,Malta,72.46
41,,Mexico,92.58
42,,Morocco,152.17
43,,Netherlands,120.62
44,,New Zealand,142.98
45,,Norway,144.15
46,,Pakistan,49.56
47,,Panama,61.67
48,,Peru,71.00
49,,Philippines,80.98
50,,Poland,94.74
51,,Portugal,109.88
52,,Puerto Rico,81.25
53,,Qatar,64.47
54,,Romania,86.02
55,,Russia,118.12
56,,Saudi Arabia,90.83
57,,Serbia,110.93
58,,Singapore,86.47
59,,Slovakia,97.83
60,,Slovenia,118.84
61,,South Africa,119.15
62,,South Korea,81.68
63,,Spain,113.20
64,,Sri Lanka,135.00
65,,Sweden,131.36
66,,Switzerland,165.47
67,,Syria,86.67
68,,Taiwan,61.75
69,,Thailand,85.73
70,,Tunisia,88.80
71,,Turkey,84.56
72,,Ukraine,112.85
73,,United Arab Emirates,87.50
74,,United Kingdom,99.80
75,,United States,72.30
76,,Uruguay,130.83
77,,Venezuela,135.00
78,,Vietnam,56.67
