,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,0.88
1,,Algeria,0.61
2,,Argentina,1.58
3,,Armenia,0.56
4,,Australia,2.39
5,,Austria,2.81
6,,Azerbaijan,0.47
7,,Bahrain,0.54
8,,Bangladesh,0.29
9,,Belarus,0.90
10,,Belgium,2.27
11,,Bosnia And Herzegovina,1.22
12,,Brazil,1.15
13,,Bulgaria,0.86
14,,Cambodia,0.71
15,,Canada,1.56
16,,Chile,1.17
17,,China,0.52
18,,Colombia,0.71
19,,Costa Rica,1.46
20,,Croatia,1.83
21,,Cyprus,1.39
22,,Czech Republic,1.13
23,,Denmark,2.92
24,,Dominican Republic,0.93
25,,Ecuador,0.85
26,,Egypt,0.42
27,,Estonia,1.18
28,,Finland,2.46
29,,France,2.77
30,,Georgia,0.43
31,,Germany,2.15
32,,Greece,1.54
33,,Guatemala,0.95
34,,Hong Kong,1.07
35,,Hungary,0.88
36,,Iceland,2.10
37,,India,0.39
38,,Indonesia,0.55
39,,Iran,0.46
40,,Iraq,0.45
41,,Ireland,1.65
42,,Israel,2.13
43,,Italy,2.17
44,,Jamaica,0.91
45,,Japan,1.10
46,,Jordan,0.49
47,,Kazakhstan,0.64
48,,Kenya,0.63
49,,Kuwait,0.48
50,,Latvia,0.95
51,,Lebanon,0.63
52,,Lithuania,1.12
53,,Luxembourg,2.12
54,,Macedonia,1.12
55,,Malaysia,0.64
56,,Malta,1.57
57,,Mauritius,0.64
58,,Mexico,0.70
59,,Moldova,0.72
60,,Montenegro,1.68
61,,Morocco,0.64
62,,Nepal,0.36
63,,Netherlands,2.35
64,,New Zealand,2.11
65,,Nigeria,0.48
66,,Norway,3.74
67,,Oman,0.47
68,,Pakistan,0.33
69,,Panama,1.06
70,,Peru,0.69
71,,Philippines,0.45
72,,Poland,0.96
73,,Portugal,1.25
74,,Puerto Rico,1.13
75,,Qatar,0.47
76,,Romania,1.12
77,,Russia,0.87
78,,Saudi Arabia,0.41
79,,Serbia,1.15
80,,Singapore,1.18
81,,Slovakia,1.31
82,,Slovenia,2.10
83,,South Africa,0.85
84,,South Korea,1.36
85,,Spain,1.82
86,,Sri Lanka,0.61
87,,Sweden,2.14
88,,Switzerland,4.16
89,,Taiwan,0.86
90,,Tanzania,0.73
91,,Thailand,0.53
92,,Trinidad And Tobago,0.93
93,,Tunisia,0.51
94,,Turkey,0.90
95,,Ukraine,0.46
96,,United Arab Emirates,0.45
97,,United Kingdom,1.73
98,,United States,1.71
99,,Uruguay,1.36
100,,Venezuela,1.71
101,,Vietnam,0.43
102,,Zimbabwe,0.64
