,Rank,City,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment"
0,,Algeria,51.57
1,,Argentina,76.49
2,,Australia,217.53
3,,Austria,214.45
4,,Azerbaijan,110.41
5,,Bahrain,48.78
6,,Bangladesh,52.34
7,,Belarus,43.89
8,,Belgium,180.54
9,,Bosnia And Herzegovina,147.79
10,,Brazil,89.74
11,,Bulgaria,116.31
12,,Canada,151.73
13,,Chile,132.20
14,,China,57.64
15,,Colombia,91.50
16,,Costa Rica,62.87
17,,Croatia,228.93
18,,Cyprus,179.42
19,,Czech Republic,197.19
20,,Denmark,230.68
21,,Dominican Republic,98.79
22,,Ecuador,40.91
23,,Egypt,25.16
24,,Estonia,256.58
25,,Ethiopia,-
26,,Finland,150.27
27,,France,173.21
28,,Georgia,75.44
29,,Germany,261.40
30,,Ghana,90.36
31,,Greece,206.16
32,,Hong Kong,187.28
33,,Hungary,233.24
34,,Iceland,84.80
35,,India,34.29
36,,Indonesia,67.50
37,,Iran,47.71
38,,Iraq,116.96
39,,Ireland,192.62
40,,Israel,195.96
41,,Italy,220.39
42,,Jamaica,139.85
43,,Japan,200.69
44,,Jordan,92.41
45,,Kazakhstan,126.39
46,,Kenya,21.93
47,,Kuwait,24.03
48,,Latvia,245.43
49,,Lebanon,163.48
50,,Lithuania,214.71
51,,Luxembourg,201.84
52,,Macedonia,121.17
53,,Malaysia,52.93
54,,Malta,299.27
55,,Mexico,70.06
56,,Moldova,144.55
57,,Morocco,61.85
58,,Nepal,26.78
59,,Netherlands,215.72
60,,New Zealand,148.36
61,,Nigeria,77.19
62,,Norway,300.79
63,,Oman,64.21
64,,Pakistan,69.86
65,,Panama,100.23
66,,Peru,64.25
67,,Philippines,78.37
68,,Poland,169.53
69,,Portugal,113.70
70,,Puerto Rico,261.80
71,,Qatar,55.74
72,,Romania,122.21
73,,Russia,166.75
74,,Saudi Arabia,45.10
75,,Serbia,169.76
76,,Singapore,155.68
77,,Slovakia,201.39
78,,Slovenia,299.97
79,,South Africa,102.17
80,,South Korea,135.03
81,,Spain,146.36
82,,Sri Lanka,69.09
83,,Sweden,129.04
84,,Switzerland,219.68
85,,Syria,39.04
86,,Taiwan,86.98
87,,Tanzania,79.41
88,,Thailand,75.07
89,,Trinidad And Tobago,54.78
90,,Tunisia,64.55
91,,Turkey,112.56
92,,Ukraine,79.99
93,,United Arab Emirates,138.24
94,,United Kingdom,223.95
95,,United States,162.34
96,,Uruguay,195.35
97,,Venezuela,42.05
98,,Vietnam,40.84
