,Rank,City,"Cinema, International Release, 1 Seat"
0,,Algeria,3.81
1,,Argentina,8.62
2,,Australia,17.31
3,,Austria,11.69
4,,Azerbaijan,7.65
5,,Bahrain,8.11
6,,Bangladesh,3.27
7,,Belarus,4.00
8,,Belgium,11.69
9,,Bosnia And Herzegovina,4.00
10,,Brazil,8.88
11,,Bulgaria,6.67
12,,Canada,11.54
13,,Chile,7.99
14,,China,11.44
15,,Colombia,5.26
16,,Costa Rica,7.10
17,,Croatia,6.06
18,,Cyprus,10.39
19,,Czech Republic,7.60
20,,Denmark,15.68
21,,Dominican Republic,5.54
22,,Ecuador,5.00
23,,Egypt,4.37
24,,Estonia,7.79
25,,Ethiopia,4.50
26,,Finland,13.31
27,,France,11.69
28,,Georgia,7.12
29,,Germany,11.69
30,,Ghana,-
31,,Greece,9.42
32,,Hong Kong,9.99
33,,Hungary,6.53
34,,Iceland,9.83
35,,India,3.54
36,,Indonesia,5.11
37,,Iran,2.44
38,,Iraq,10.00
39,,Ireland,11.82
40,,Israel,10.60
41,,Italy,10.39
42,,Jamaica,10.27
43,,Japan,17.92
44,,Jordan,9.86
45,,Kazakhstan,8.41
46,,Kenya,-
47,,Kuwait,10.34
48,,Latvia,7.40
49,,Lebanon,8.00
50,,Lithuania,6.97
51,,Luxembourg,11.43
52,,Macedonia,3.15
53,,Malaysia,3.95
54,,Malta,9.09
55,,Mexico,4.68
56,,Moldova,6.12
57,,Morocco,6.00
58,,Nepal,3.35
59,,Netherlands,11.69
60,,New Zealand,12.80
61,,Nigeria,9.62
62,,Norway,18.74
63,,Oman,7.89
64,,Pakistan,5.14
65,,Panama,4.50
66,,Peru,5.60
67,,Philippines,3.56
68,,Poland,6.99
69,,Portugal,7.79
70,,Puerto Rico,6.50
71,,Qatar,9.62
72,,Romania,5.93
73,,Russia,9.40
74,,Saudi Arabia,26.67
75,,Serbia,4.22
76,,Singapore,8.73
77,,Slovakia,7.79
78,,Slovenia,7.79
79,,South Africa,4.97
80,,South Korea,8.13
81,,Spain,10.39
82,,Sri Lanka,3.09
83,,Sweden,16.62
84,,Switzerland,18.75
85,,Syria,4.00
86,,Taiwan,9.39
87,,Tanzania,6.09
88,,Thailand,5.56
89,,Trinidad And Tobago,7.53
90,,Tunisia,3.07
91,,Turkey,7.41
92,,Ukraine,6.22
93,,United Arab Emirates,9.54
94,,United Kingdom,12.12
95,,United States,10.00
96,,Uruguay,10.14
97,,Venezuela,12.00
98,,Vietnam,4.29
