,Rank,City,"Cinema, International Release, 1 Seat"
0,,Albania,5.47
1,,Algeria,5.01
2,,Argentina,6.71
3,,Armenia,5.20
4,,Australia,12.50
5,,Austria,12.31
6,,Azerbaijan,4.11
7,,Bahrain,9.28
8,,Bangladesh,5.33
9,,Belarus,4.00
10,,Belgium,12.31
11,,Bolivia,7.12
12,,Bosnia And Herzegovina,3.99
13,,Brazil,7.64
14,,Brunei,5.10
15,,Bulgaria,6.85
16,,Cambodia,4.50
17,,Canada,10.35
18,,Chile,7.05
19,,China,7.24
20,,Colombia,3.58
21,,Costa Rica,5.96
22,,Croatia,6.02
23,,Cyprus,10.07
24,,Czech Republic,8.17
25,,Denmark,16.45
26,,Dominican Republic,5.66
27,,Ecuador,6.00
28,,Egypt,4.49
29,,El Salvador,5.00
30,,Estonia,8.95
31,,Ethiopia,3.06
32,,Finland,15.67
33,,France,11.19
34,,Georgia,5.03
35,,Germany,12.31
36,,Greece,8.62
37,,Guatemala,5.83
38,,Honduras,4.00
39,,Hong Kong,12.76
40,,Hungary,6.19
41,,Iceland,12.86
42,,India,3.59
43,,Indonesia,3.49
44,,Iran,3.56
45,,Iraq,9.99
46,,Ireland,13.43
47,,Israel,11.03
48,,Italy,9.51
49,,Jamaica,10.15
50,,Japan,16.62
51,,Jordan,11.28
52,,Kazakhstan,3.92
53,,Kenya,7.89
54,,Kosovo (Disputed Territory),3.36
55,,Kuwait,11.50
56,,Latvia,8.62
57,,Lebanon,10.00
58,,Lithuania,7.84
59,,Luxembourg,11.19
60,,Macedonia,4.52
61,,Malaysia,3.82
62,,Malta,8.95
63,,Mauritius,6.98
64,,Mexico,3.80
65,,Moldova,5.48
66,,Montenegro,5.60
67,,Morocco,6.18
68,,Namibia,4.80
69,,Nepal,3.40
70,,Netherlands,13.43
71,,New Zealand,11.11
72,,Nigeria,6.94
73,,Norway,15.99
74,,Oman,9.09
75,,Pakistan,4.09
76,,Palestinian Territory,8.27
77,,Panama,6.00
78,,Peru,5.93
79,,Philippines,4.99
80,,Poland,6.52
81,,Portugal,7.84
82,,Puerto Rico,8.00
83,,Qatar,9.61
84,,Romania,5.88
85,,Russia,5.35
86,,Saudi Arabia,17.33
87,,Serbia,4.74
88,,Singapore,9.10
89,,Slovakia,7.84
90,,Slovenia,7.28
91,,South Africa,5.83
92,,South Korea,8.41
93,,Spain,8.95
94,,Sri Lanka,3.97
95,,Sweden,13.69
96,,Switzerland,17.99
97,,Taiwan,9.51
98,,Thailand,6.99
99,,Trinidad And Tobago,7.38
100,,Tunisia,3.34
101,,Turkey,3.42
102,,Uganda,5.58
103,,Ukraine,3.71
104,,United Arab Emirates,10.89
105,,United Kingdom,12.64
106,,United States,12.00
107,,Uruguay,8.51
108,,Uzbekistan,4.00
109,,Venezuela,2.00
110,,Vietnam,3.86
