,Rank,City,"1 Summer Dress in a Chain Store (Zara, H&M, ...)"
0,,Argentina,80.00
1,,Australia,45.97
2,,Austria,98.77
3,,Belgium,46.30
4,,Bosnia And Herzegovina,33.95
5,,Brazil,58.85
6,,Bulgaria,55.36
7,,Canada,45.76
8,,Chile,33.27
9,,China,69.99
10,,Colombia,100.00
11,,Croatia,53.41
12,,Czech Republic,39.99
13,,Denmark,70.63
14,,Ecuador,50.00
15,,Egypt,100.00
16,,Estonia,47.34
17,,Finland,51.85
18,,France,37.04
19,,Germany,42.13
20,,Greece,45.68
21,,Hong Kong,71.67
22,,Hungary,43.36
23,,India,39.86
24,,Indonesia,53.85
25,,Iran,27.50
26,,Ireland,70.37
27,,Israel,100.00
28,,Italy,75.51
29,,Japan,59.41
30,,Jordan,70.00
31,,Kazakhstan,-
32,,Lithuania,71.51
33,,Malaysia,58.27
34,,Malta,33.95
35,,Mexico,45.94
36,,Morocco,53.03
37,,Netherlands,49.38
38,,New Zealand,47.39
39,,Norway,57.19
40,,Pakistan,40.00
41,,Panama,22.00
42,,Philippines,39.55
43,,Poland,39.29
44,,Portugal,46.30
45,,Puerto Rico,41.33
46,,Qatar,-
47,,Romania,57.72
48,,Russia,51.79
49,,Saudi Arabia,52.50
50,,Serbia,30.86
51,,Singapore,55.71
52,,Slovakia,48.15
53,,Slovenia,30.86
54,,South Africa,42.61
55,,South Korea,29.99
56,,Spain,41.15
57,,Sweden,31.60
58,,Switzerland,53.43
59,,Syria,145.00
60,,Taiwan,45.00
61,,Thailand,35.46
62,,Turkey,29.72
63,,Ukraine,100.76
64,,United Arab Emirates,70.00
65,,United Kingdom,50.36
66,,United States,39.81
67,,Vietnam,-
