,Rank,City,Gasoline (1 liter)
0,,Argentina,1.02
1,,Australia,1.10
2,,Austria,1.58
3,,Belgium,1.90
4,,Bosnia And Herzegovina,1.24
5,,Brazil,1.40
6,,Bulgaria,1.36
7,,Canada,1.02
8,,Chile,1.07
9,,China,0.95
10,,Colombia,1.11
11,,Croatia,1.43
12,,Czech Republic,1.55
13,,Denmark,1.82
14,,Ecuador,0.48
15,,Egypt,0.35
16,,Estonia,1.42
17,,Finland,1.80
18,,France,1.68
19,,Germany,1.73
20,,Greece,1.83
21,,Hong Kong,1.92
22,,Hungary,1.52
23,,India,1.18
24,,Indonesia,0.57
25,,Iran,0.40
26,,Ireland,1.63
27,,Israel,1.64
28,,Italy,1.66
29,,Japan,1.32
30,,Jordan,0.93
31,,Kazakhstan,0.70
32,,Lithuania,1.43
33,,Malaysia,0.57
34,,Malta,1.41
35,,Mexico,0.68
36,,Morocco,0.93
37,,Netherlands,1.92
38,,New Zealand,1.24
39,,Norway,1.98
40,,Pakistan,0.90
41,,Panama,0.74
42,,Philippines,1.01
43,,Poland,1.35
44,,Portugal,1.68
45,,Puerto Rico,0.70
46,,Qatar,0.22
47,,Romania,1.38
48,,Russia,0.83
49,,Saudi Arabia,0.13
50,,Serbia,1.45
51,,Singapore,1.31
52,,Slovakia,1.44
53,,Slovenia,1.50
54,,South Africa,1.07
55,,South Korea,1.93
56,,Spain,1.39
57,,Sweden,1.68
58,,Switzerland,1.43
59,,Syria,0.96
60,,Taiwan,0.99
61,,Thailand,1.00
62,,Turkey,2.28
63,,Ukraine,0.97
64,,United Arab Emirates,0.59
65,,United Kingdom,1.72
66,,United States,0.76
67,,Vietnam,0.97
