,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,100.51
1,,Algeria,107.34
2,,Argentina,112.71
3,,Armenia,90.73
4,,Australia,123.75
5,,Austria,122.47
6,,Azerbaijan,104.32
7,,Bahrain,84.55
8,,Bangladesh,42.15
9,,Belarus,113.79
10,,Belgium,174.46
11,,Bosnia And Herzegovina,87.26
12,,Brazil,95.09
13,,Bulgaria,66.50
14,,Cambodia,-
15,,Canada,102.93
16,,Chile,87.79
17,,China,84.96
18,,Colombia,85.18
19,,Costa Rica,101.48
20,,Croatia,102.87
21,,Cyprus,93.59
22,,Czech Republic,92.87
23,,Denmark,176.21
24,,Dominican Republic,98.57
25,,Ecuador,75.00
26,,Egypt,63.38
27,,Estonia,133.46
28,,Finland,131.45
29,,France,137.68
30,,Georgia,107.33
31,,Germany,133.49
32,,Greece,112.63
33,,Hong Kong,115.42
34,,Hungary,94.85
35,,Iceland,222.82
36,,India,40.56
37,,Indonesia,61.92
38,,Iran,72.43
39,,Iraq,54.18
40,,Ireland,105.31
41,,Israel,117.81
42,,Italy,140.09
43,,Jamaica,69.36
44,,Japan,89.10
45,,Jordan,101.82
46,,Kazakhstan,112.00
47,,Kenya,52.42
48,,Kuwait,94.89
49,,Latvia,123.15
50,,Lebanon,141.22
51,,Lithuania,128.29
52,,Luxembourg,204.11
53,,Macedonia,71.91
54,,Malaysia,77.98
55,,Malta,91.85
56,,Mexico,64.81
57,,Morocco,61.92
58,,Nepal,28.74
59,,Netherlands,158.22
60,,New Zealand,126.81
61,,Nigeria,56.57
62,,Norway,181.92
63,,Oman,69.77
64,,Pakistan,38.83
65,,Panama,70.00
66,,Peru,99.31
67,,Philippines,60.78
68,,Poland,87.59
69,,Portugal,99.91
70,,Puerto Rico,91.69
71,,Qatar,108.16
72,,Romania,85.84
73,,Russia,122.51
74,,Saudi Arabia,81.32
75,,Serbia,96.47
76,,Singapore,112.31
77,,Slovakia,78.62
78,,Slovenia,130.40
79,,South Africa,73.35
80,,South Korea,141.81
81,,Spain,96.91
82,,Sri Lanka,28.77
83,,Sweden,152.42
84,,Switzerland,169.16
85,,Taiwan,99.22
86,,Thailand,81.61
87,,Trinidad And Tobago,100.68
88,,Tunisia,39.85
89,,Turkey,68.90
90,,Ukraine,77.20
91,,United Arab Emirates,98.90
92,,United Kingdom,97.13
93,,United States,86.25
94,,Uruguay,116.75
95,,Venezuela,337.50
96,,Vietnam,64.24
