,Rank,City,Cigarettes 20 Pack (Marlboro)
0,,Albania,2.97
1,,Algeria,2.32
2,,Argentina,2.60
3,,Armenia,1.24
4,,Australia,22.65
5,,Austria,6.25
6,,Azerbaijan,2.35
7,,Bahamas,-
8,,Bahrain,5.29
9,,Bangladesh,2.63
10,,Belarus,1.50
11,,Belgium,7.71
12,,Belize,-
13,,Bolivia,-
14,,Bosnia And Herzegovina,3.29
15,,Brazil,2.42
16,,Bulgaria,3.28
17,,Cambodia,1.45
18,,Canada,10.80
19,,Chile,5.55
20,,China,3.12
21,,Colombia,2.09
22,,Costa Rica,3.54
23,,Croatia,4.43
24,,Cyprus,5.49
25,,Czech Republic,4.52
26,,Denmark,6.98
27,,Dominican Republic,4.04
28,,Ecuador,5.50
29,,Egypt,2.12
30,,El Salvador,-
31,,Estonia,4.67
32,,Fiji,-
33,,Finland,8.17
34,,France,9.34
35,,Georgia,2.02
36,,Germany,7.47
37,,Ghana,-
38,,Greece,5.26
39,,Guatemala,-
40,,Hong Kong,7.27
41,,Hungary,4.45
42,,Iceland,13.30
43,,India,4.46
44,,Indonesia,1.80
45,,Iran,3.32
46,,Iraq,2.00
47,,Ireland,14.01
48,,Israel,9.82
49,,Italy,6.19
50,,Jamaica,-
51,,Japan,4.31
52,,Jordan,3.52
53,,Kazakhstan,1.22
54,,Kenya,1.97
55,,Kosovo (Disputed Territory),2.80
56,,Kuwait,2.98
57,,Latvia,4.44
58,,Lebanon,2.32
59,,Lithuania,4.15
60,,Luxembourg,-
61,,Macedonia,2.28
62,,Malaysia,4.27
63,,Malta,6.66
64,,Mauritius,6.66
65,,Mexico,2.51
66,,Moldova,1.65
67,,Montenegro,4.09
68,,Morocco,3.48
69,,Namibia,-
70,,Nepal,2.32
71,,Netherlands,8.06
72,,New Zealand,20.28
73,,Nigeria,0.83
74,,Norway,14.41
75,,Oman,3.12
76,,Pakistan,1.38
77,,Panama,5.00
78,,Peru,3.82
79,,Philippines,1.71
80,,Poland,4.33
81,,Portugal,5.84
82,,Puerto Rico,9.50
83,,Qatar,2.88
84,,Romania,4.26
85,,Russia,2.24
86,,Saudi Arabia,6.67
87,,Serbia,3.07
88,,Singapore,10.45
89,,Slovakia,4.44
90,,Slovenia,4.67
91,,South Africa,3.15
92,,South Korea,4.18
93,,Spain,5.84
94,,Sri Lanka,6.96
95,,Sweden,7.25
96,,Switzerland,8.61
97,,Taiwan,3.68
98,,Tanzania,1.53
99,,Thailand,4.37
100,,Trinidad And Tobago,-
101,,Tunisia,2.54
102,,Turkey,2.87
103,,Uganda,-
104,,Ukraine,1.34
105,,United Arab Emirates,5.44
106,,United Kingdom,13.26
107,,United States,7.50
108,,Uruguay,4.50
109,,Uzbekistan,-
110,,Venezuela,1.00
111,,Vietnam,1.10
112,,Zimbabwe,2.00
