,Rank,City,Gasoline (1 liter)
0,,Albania,1.62
1,,Algeria,0.32
2,,Argentina,1.03
3,,Armenia,0.89
4,,Australia,1.01
5,,Austria,1.38
6,,Azerbaijan,0.55
7,,Bahrain,0.50
8,,Bangladesh,1.07
9,,Belarus,0.78
10,,Belgium,1.60
11,,Bolivia,0.58
12,,Bosnia And Herzegovina,1.32
13,,Brazil,1.11
14,,Brunei,0.39
15,,Bulgaria,1.27
16,,Cambodia,0.96
17,,Canada,0.91
18,,Chile,1.16
19,,China,1.02
20,,Colombia,0.75
21,,Costa Rica,1.09
22,,Croatia,1.50
23,,Cyprus,1.34
24,,Czech Republic,1.40
25,,Denmark,1.66
26,,Dominican Republic,1.16
27,,Ecuador,0.64
28,,Egypt,0.45
29,,El Salvador,0.93
30,,Estonia,1.50
31,,Ethiopia,0.78
32,,Finland,1.72
33,,France,1.68
34,,Georgia,0.90
35,,Germany,1.60
36,,Greece,1.76
37,,Guatemala,0.89
38,,Honduras,1.04
39,,Hong Kong,2.15
40,,Hungary,1.35
41,,Iceland,1.82
42,,India,1.09
43,,Indonesia,0.62
44,,Iran,0.24
45,,Iraq,0.54
46,,Ireland,1.59
47,,Israel,1.73
48,,Italy,1.75
49,,Jamaica,1.16
50,,Japan,1.30
51,,Jordan,1.17
52,,Kazakhstan,0.42
53,,Kenya,1.10
54,,Kosovo (Disputed Territory),1.28
55,,Kuwait,0.31
56,,Latvia,1.40
57,,Lebanon,0.89
58,,Lithuania,1.33
59,,Luxembourg,1.33
60,,Macedonia,1.23
61,,Malaysia,0.50
62,,Malta,1.58
63,,Mauritius,1.29
64,,Mexico,1.03
65,,Moldova,1.04
66,,Montenegro,1.49
67,,Morocco,1.06
68,,Namibia,0.95
69,,Nepal,0.97
70,,Netherlands,1.83
71,,New Zealand,1.44
72,,Nigeria,0.40
73,,Norway,1.84
74,,Oman,0.56
75,,Pakistan,0.75
76,,Palestinian Territory,1.81
77,,Panama,0.77
78,,Peru,1.13
79,,Philippines,0.98
80,,Poland,1.32
81,,Portugal,1.71
82,,Puerto Rico,0.75
83,,Qatar,0.51
84,,Romania,1.35
85,,Russia,0.69
86,,Saudi Arabia,0.41
87,,Serbia,1.50
88,,Singapore,1.64
89,,Slovakia,1.49
90,,Slovenia,1.46
91,,South Africa,1.08
92,,South Korea,1.27
93,,Spain,1.46
94,,Sri Lanka,0.80
95,,Sweden,1.65
96,,Switzerland,1.66
97,,Taiwan,0.94
98,,Thailand,0.95
99,,Trinidad And Tobago,0.74
100,,Tunisia,0.67
101,,Turkey,1.16
102,,Uganda,1.10
103,,Ukraine,1.10
104,,United Arab Emirates,0.61
105,,United Kingdom,1.61
106,,United States,0.74
107,,Uruguay,1.55
108,,Uzbekistan,0.52
109,,Venezuela,0.00
110,,Vietnam,0.87
