,Rank,City,Taxi Start (Normal Tariff)
0,,Albania,2.25
1,,Algeria,0.30
2,,Argentina,1.75
3,,Armenia,1.25
4,,Australia,3.04
5,,Austria,4.22
6,,Azerbaijan,0.95
7,,Bahrain,3.98
8,,Bangladesh,1.03
9,,Belarus,2.01
10,,Belgium,4.37
11,,Bosnia And Herzegovina,0.84
12,,Brazil,1.42
13,,Bulgaria,0.45
14,,Cambodia,1.00
15,,Canada,2.87
16,,Chile,0.48
17,,China,1.94
18,,Colombia,1.52
19,,Costa Rica,1.20
20,,Croatia,2.16
21,,Cyprus,4.23
22,,Czech Republic,1.59
23,,Denmark,5.86
24,,Dominican Republic,3.68
25,,Ecuador,1.25
26,,Egypt,0.39
27,,Estonia,2.73
28,,Finland,6.56
29,,France,5.03
30,,Georgia,1.30
31,,Germany,3.77
32,,Greece,3.28
33,,Guatemala,3.26
34,,Hong Kong,2.84
35,,Hungary,1.59
36,,Iceland,4.96
37,,India,0.63
38,,Indonesia,0.57
39,,Iran,0.40
40,,Iraq,3.00
41,,Ireland,4.48
42,,Israel,3.23
43,,Italy,4.92
44,,Jamaica,3.02
45,,Japan,5.77
46,,Jordan,0.42
47,,Kazakhstan,1.88
48,,Kenya,3.07
49,,Kuwait,3.30
50,,Latvia,2.19
51,,Lebanon,7.00
52,,Lithuania,0.77
53,,Luxembourg,-
54,,Macedonia,0.71
55,,Malaysia,0.81
56,,Malta,12.02
57,,Mauritius,-
58,,Mexico,1.29
59,,Moldova,1.38
60,,Montenegro,1.09
61,,Morocco,0.71
62,,Nepal,2.21
63,,Netherlands,3.83
64,,New Zealand,2.13
65,,Nigeria,2.06
66,,Norway,11.01
67,,Oman,1.95
68,,Pakistan,0.98
69,,Panama,1.50
70,,Peru,1.58
71,,Philippines,0.90
72,,Poland,1.62
73,,Portugal,3.83
74,,Puerto Rico,2.00
75,,Qatar,2.75
76,,Romania,0.39
77,,Russia,2.81
78,,Saudi Arabia,2.67
79,,Serbia,1.36
80,,Singapore,2.58
81,,Slovakia,2.90
82,,Slovenia,1.09
83,,South Africa,1.22
84,,South Korea,2.69
85,,Spain,3.28
86,,Sri Lanka,0.37
87,,Sweden,5.25
88,,Switzerland,7.40
89,,Taiwan,2.27
90,,Tanzania,2.36
91,,Thailand,1.04
92,,Trinidad And Tobago,-
93,,Tunisia,0.23
94,,Turkey,1.19
95,,Ukraine,1.43
96,,United Arab Emirates,1.91
97,,United Kingdom,4.56
98,,United States,3.00
99,,Uruguay,1.42
100,,Venezuela,1.00
101,,Vietnam,0.55
102,,Zimbabwe,3.00
