,Rank,City,Imported Beer (0.33 liter bottle)
0,,Albania,1.82
1,,Algeria,1.67
2,,Argentina,2.57
3,,Armenia,1.67
4,,Australia,5.90
5,,Austria,4.48
6,,Azerbaijan,2.35
7,,Bahrain,9.28
8,,Bangladesh,5.33
9,,Belarus,3.00
10,,Belgium,4.09
11,,Bolivia,2.46
12,,Bosnia And Herzegovina,1.71
13,,Brazil,3.31
14,,Brunei,-
15,,Bulgaria,1.94
16,,Cambodia,1.50
17,,Canada,5.54
18,,Chile,4.23
19,,China,2.61
20,,Colombia,2.09
21,,Costa Rica,3.41
22,,Croatia,2.71
23,,Cyprus,4.48
24,,Czech Republic,1.94
25,,Denmark,5.98
26,,Dominican Republic,3.77
27,,Ecuador,3.00
28,,Egypt,2.99
29,,El Salvador,-
30,,Estonia,4.48
31,,Ethiopia,1.00
32,,Finland,6.72
33,,France,5.60
34,,Georgia,1.44
35,,Germany,3.92
36,,Greece,4.48
37,,Guatemala,3.89
38,,Honduras,2.50
39,,Hong Kong,6.38
40,,Hungary,1.89
41,,Iceland,8.09
42,,India,3.59
43,,Indonesia,3.49
44,,Iran,1.00
45,,Iraq,2.10
46,,Ireland,5.60
47,,Israel,7.72
48,,Italy,4.48
49,,Jamaica,2.77
50,,Japan,4.62
51,,Jordan,7.05
52,,Kazakhstan,1.37
53,,Kenya,3.45
54,,Kosovo (Disputed Territory),2.24
55,,Kuwait,3.04
56,,Latvia,2.24
57,,Lebanon,4.32
58,,Lithuania,3.36
59,,Luxembourg,5.04
60,,Macedonia,2.17
61,,Malaysia,3.82
62,,Malta,3.36
63,,Mauritius,-
64,,Mexico,2.55
65,,Moldova,1.41
66,,Montenegro,2.01
67,,Morocco,3.60
68,,Namibia,1.37
69,,Nepal,4.03
70,,Netherlands,4.48
71,,New Zealand,5.88
72,,Nigeria,1.39
73,,Norway,10.16
74,,Oman,10.39
75,,Pakistan,4.26
76,,Palestinian Territory,2.21
77,,Panama,3.50
78,,Peru,2.97
79,,Philippines,1.92
80,,Poland,2.35
81,,Portugal,2.24
82,,Puerto Rico,4.00
83,,Qatar,12.36
84,,Romania,2.12
85,,Russia,2.29
86,,Saudi Arabia,1.33
87,,Serbia,2.04
88,,Singapore,8.73
89,,Slovakia,2.13
90,,Slovenia,3.36
91,,South Africa,2.40
92,,South Korea,5.05
93,,Spain,3.36
94,,Sri Lanka,2.83
95,,Sweden,6.84
96,,Switzerland,6.00
97,,Taiwan,2.22
98,,Thailand,3.50
99,,Trinidad And Tobago,2.95
100,,Tunisia,1.50
101,,Turkey,3.42
102,,Uganda,1.13
103,,Ukraine,1.48
104,,United Arab Emirates,12.25
105,,United Kingdom,5.06
106,,United States,6.00
107,,Uruguay,2.84
108,,Uzbekistan,2.00
109,,Venezuela,3.00
110,,Vietnam,1.50
