,Rank,City,Coke/Pepsi (0.33 liter bottle)
0,,Albania,1.10
1,,Argentina,1.71
2,,Australia,2.96
3,,Austria,2.85
4,,Bahrain,1.34
5,,Bangladesh,0.42
6,,Belarus,1.19
7,,Belgium,2.61
8,,Bosnia And Herzegovina,1.43
9,,Brazil,1.39
10,,Bulgaria,0.99
11,,Cambodia,0.64
12,,Canada,1.75
13,,Chile,1.18
14,,China,0.57
15,,Colombia,0.88
16,,Costa Rica,1.51
17,,Croatia,2.07
18,,Cyprus,2.03
19,,Czech Republic,1.32
20,,Denmark,3.52
21,,Dominican Republic,1.06
22,,Ecuador,0.73
23,,Egypt,0.45
24,,Estonia,1.35
25,,Finland,2.75
26,,France,2.94
27,,Georgia,0.55
28,,Germany,2.38
29,,Greece,1.67
30,,Hong Kong,1.02
31,,Hungary,1.01
32,,Iceland,2.26
33,,India,0.37
34,,Indonesia,0.74
35,,Iran,0.57
36,,Iraq,0.48
37,,Ireland,1.92
38,,Israel,2.10
39,,Italy,2.35
40,,Japan,1.67
41,,Jordan,0.51
42,,Kazakhstan,0.80
43,,Kenya,0.65
44,,Kuwait,1.95
45,,Latvia,1.25
46,,Lebanon,0.71
47,,Lithuania,1.00
48,,Luxembourg,3.02
49,,Macedonia,1.18
50,,Malaysia,0.67
51,,Malta,1.72
52,,Mauritius,0.93
53,,Mexico,0.65
54,,Morocco,0.79
55,,Nepal,0.47
56,,Netherlands,2.45
57,,New Zealand,1.89
58,,Nigeria,0.86
59,,Norway,3.93
60,,Oman,0.45
61,,Pakistan,0.32
62,,Peru,0.75
63,,Philippines,0.59
64,,Poland,0.96
65,,Portugal,1.37
66,,Puerto Rico,1.05
67,,Qatar,0.69
68,,Romania,1.13
69,,Russia,1.09
70,,Saudi Arabia,0.42
71,,Serbia,1.33
72,,Singapore,1.13
73,,Slovakia,1.48
74,,Slovenia,2.33
75,,South Africa,1.01
76,,South Korea,1.23
77,,Spain,2.08
78,,Sri Lanka,0.80
79,,Sweden,2.01
80,,Switzerland,3.87
81,,Taiwan,0.99
82,,Tanzania,0.63
83,,Thailand,0.58
84,,Tunisia,0.96
85,,Turkey,1.23
86,,Ukraine,0.75
87,,United Arab Emirates,0.47
88,,United Kingdom,1.78
89,,United States,1.56
90,,Uruguay,1.98
91,,Venezuela,2.27
92,,Vietnam,0.50
