,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Argentina,2083.33
1,,Australia,7618.20
2,,Austria,4637.68
3,,Bangladesh,1269.10
4,,Belgium,3971.01
5,,Bosnia And Herzegovina,1578.10
6,,Brazil,2603.99
7,,Bulgaria,1241.57
8,,Canada,3183.85
9,,Chile,1684.60
10,,China,3124.01
11,,Colombia,1315.15
12,,Costa Rica,1937.50
13,,Croatia,2744.96
14,,Cyprus,2608.70
15,,Czech Republic,2898.75
16,,Denmark,5436.79
17,,Ecuador,862.50
18,,Egypt,1006.67
19,,Estonia,1884.06
20,,Finland,6811.59
21,,France,7001.59
22,,Germany,4016.56
23,,Greece,2834.10
24,,Hong Kong,17197.49
25,,Hungary,1761.05
26,,Iceland,2608.70
27,,India,1361.74
28,,Indonesia,2459.03
29,,Iran,2553.33
30,,Ireland,4329.71
31,,Israel,6417.92
32,,Italy,6572.46
33,,Japan,21498.40
34,,Jordan,1029.97
35,,Latvia,2324.86
36,,Lebanon,4250.00
37,,Lithuania,2838.70
38,,Macedonia,1702.90
39,,Malaysia,1010.65
40,,Malta,4347.83
41,,Mexico,947.19
42,,Morocco,1666.67
43,,Netherlands,4363.93
44,,New Zealand,2628.10
45,,Norway,7582.62
46,,Pakistan,1007.47
47,,Panama,1433.33
48,,Peru,1500.00
49,,Philippines,663.42
50,,Poland,2861.07
51,,Portugal,2232.94
52,,Puerto Rico,2200.00
53,,Qatar,6776.50
54,,Romania,1684.32
55,,Russia,2200.64
56,,Saudi Arabia,1850.00
57,,Serbia,1974.64
58,,Singapore,15676.93
59,,Slovakia,1739.13
60,,Slovenia,4468.60
61,,South Africa,1317.22
62,,South Korea,5384.33
63,,Spain,5551.68
64,,Sri Lanka,322.92
65,,Sweden,6254.63
66,,Switzerland,11735.06
67,,Syria,2375.00
68,,Taiwan,3150.00
69,,Thailand,1863.62
70,,Tunisia,1190.85
71,,Turkey,1365.09
72,,Ukraine,1334.60
73,,United Arab Emirates,4422.46
74,,United Kingdom,3308.47
75,,United States,1779.42
76,,Uruguay,1527.43
77,,Venezuela,3433.33
78,,Vietnam,1700.00
