,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Argentina,27.38
1,,Australia,50.42
2,,Austria,43.21
3,,Belgium,86.42
4,,Bosnia And Herzegovina,16.05
5,,Brazil,27.47
6,,Bulgaria,18.42
7,,Canada,38.46
8,,Chile,31.00
9,,China,14.66
10,,Colombia,22.50
11,,Croatia,24.69
12,,Czech Republic,19.39
13,,Denmark,82.64
14,,Ecuador,20.00
15,,Egypt,24.00
16,,Estonia,39.45
17,,Finland,61.73
18,,France,49.38
19,,Germany,43.21
20,,Greece,48.15
21,,Hong Kong,60.98
22,,Hungary,19.45
23,,India,8.63
24,,Indonesia,12.92
25,,Iran,20.00
26,,Ireland,52.47
27,,Israel,40.00
28,,Italy,49.38
29,,Japan,54.84
30,,Jordan,15.55
31,,Kazakhstan,20.00
32,,Lithuania,26.82
33,,Malaysia,9.97
34,,Malta,37.04
35,,Mexico,27.09
36,,Morocco,23.50
37,,Netherlands,74.07
38,,New Zealand,52.72
39,,Norway,61.82
40,,Pakistan,8.00
41,,Panama,30.00
42,,Philippines,9.71
43,,Poland,24.24
44,,Portugal,30.86
45,,Puerto Rico,37.50
46,,Qatar,23.17
47,,Romania,16.80
48,,Russia,54.80
49,,Saudi Arabia,25.00
50,,Serbia,20.99
51,,Singapore,26.07
52,,Slovakia,24.69
53,,Slovenia,33.95
54,,South Africa,26.11
55,,South Korea,33.36
56,,Spain,37.04
57,,Sweden,63.94
58,,Switzerland,68.97
59,,Syria,16.63
60,,Taiwan,12.50
61,,Thailand,18.21
62,,Turkey,23.89
63,,Ukraine,27.50
64,,United Arab Emirates,35.00
65,,United Kingdom,50.72
66,,United States,35.00
67,,Vietnam,20.00
