,Rank,City,Eggs (regular) (12)
0,,Albania,1.22
1,,Algeria,1.15
2,,Argentina,2.19
3,,Armenia,1.59
4,,Australia,3.55
5,,Austria,3.45
6,,Azerbaijan,1.33
7,,Bahrain,2.53
8,,Bangladesh,1.32
9,,Belarus,1.06
10,,Belgium,2.85
11,,Bolivia,1.60
12,,Bosnia And Herzegovina,1.54
13,,Brazil,1.62
14,,Bulgaria,1.55
15,,Cambodia,1.58
16,,Canada,2.62
17,,Chile,2.54
18,,China,1.80
19,,Colombia,1.47
20,,Costa Rica,3.19
21,,Croatia,2.20
22,,Cyprus,2.75
23,,Czech Republic,1.45
24,,Denmark,3.50
25,,Dominican Republic,1.90
26,,Ecuador,1.93
27,,Egypt,1.31
28,,El Salvador,1.75
29,,Estonia,1.28
30,,Finland,2.07
31,,France,3.09
32,,Georgia,1.66
33,,Germany,2.11
34,,Greece,3.36
35,,Guatemala,1.91
36,,Hong Kong,3.14
37,,Hungary,1.70
38,,Iceland,5.10
39,,India,0.88
40,,Indonesia,1.52
41,,Iran,1.46
42,,Iraq,1.55
43,,Ireland,3.00
44,,Israel,3.23
45,,Italy,2.82
46,,Jamaica,2.57
47,,Japan,2.13
48,,Jordan,2.09
49,,Kazakhstan,1.00
50,,Kenya,1.53
51,,Kosovo (Disputed Territory),1.00
52,,Kuwait,1.84
53,,Latvia,1.59
54,,Lebanon,2.87
55,,Lithuania,1.72
56,,Luxembourg,3.06
57,,Macedonia,1.41
58,,Malaysia,1.29
59,,Malta,2.51
60,,Mauritius,1.78
61,,Mexico,1.33
62,,Moldova,1.14
63,,Montenegro,1.41
64,,Morocco,1.52
65,,Nepal,1.45
66,,Netherlands,2.46
67,,New Zealand,3.37
68,,Nigeria,2.21
69,,Norway,3.92
70,,Oman,2.67
71,,Pakistan,0.98
72,,Panama,1.98
73,,Peru,1.65
74,,Philippines,1.60
75,,Poland,1.69
76,,Portugal,1.81
77,,Puerto Rico,2.99
78,,Qatar,2.82
79,,Romania,1.75
80,,Russia,1.11
81,,Saudi Arabia,1.80
82,,Serbia,1.35
83,,Singapore,2.14
84,,Slovakia,1.90
85,,Slovenia,2.15
86,,South Africa,1.57
87,,South Korea,2.52
88,,Spain,1.79
89,,Sri Lanka,1.34
90,,Sweden,3.20
91,,Switzerland,5.53
92,,Taiwan,2.01
93,,Thailand,1.47
94,,Trinidad And Tobago,3.37
95,,Tunisia,0.90
96,,Turkey,1.93
97,,Ukraine,0.95
98,,United Arab Emirates,2.81
99,,United Kingdom,2.81
100,,United States,2.64
101,,Uruguay,2.63
102,,Venezuela,1.79
103,,Vietnam,1.32
104,,Zimbabwe,1.85
