,Rank,City,Tennis Court Rent (1 Hour on Weekend)
0,,Argentina,6.00
1,,Australia,17.65
2,,Austria,25.12
3,,Bangladesh,5.00
4,,Belgium,26.09
5,,Bosnia And Herzegovina,8.45
6,,Brazil,19.04
7,,Bulgaria,9.23
8,,Canada,18.79
9,,Chile,10.00
10,,China,7.44
11,,Colombia,13.60
12,,Costa Rica,10.00
13,,Croatia,9.83
14,,Cyprus,13.04
15,,Czech Republic,10.88
16,,Denmark,14.47
17,,Ecuador,14.41
18,,Egypt,12.00
19,,Estonia,21.50
20,,Finland,20.29
21,,France,24.11
22,,Germany,24.43
23,,Greece,23.70
24,,Hong Kong,4.50
25,,Hungary,13.15
26,,Iceland,27.54
27,,India,5.76
28,,Indonesia,2.05
29,,Iran,15.00
30,,Ireland,24.15
31,,Israel,18.05
32,,Italy,23.46
33,,Japan,49.13
34,,Jordan,7.78
35,,Latvia,25.35
36,,Lebanon,12.50
37,,Lithuania,24.14
38,,Macedonia,7.54
39,,Malaysia,4.88
40,,Malta,14.49
41,,Mexico,11.99
42,,Morocco,7.25
43,,Netherlands,25.36
44,,New Zealand,21.49
45,,Norway,41.83
46,,Pakistan,11.00
47,,Panama,5.00
48,,Peru,8.00
49,,Philippines,4.87
50,,Poland,12.18
51,,Portugal,11.80
52,,Puerto Rico,17.50
53,,Qatar,16.28
54,,Romania,14.74
55,,Russia,13.31
56,,Saudi Arabia,27.78
57,,Serbia,7.73
58,,Singapore,7.48
59,,Slovakia,10.51
60,,Slovenia,28.99
61,,South Africa,9.32
62,,South Korea,22.29
63,,Spain,17.82
64,,Sri Lanka,2.00
65,,Sweden,31.70
66,,Switzerland,37.65
67,,Syria,-
68,,Taiwan,8.33
69,,Thailand,5.77
70,,Tunisia,-
71,,Turkey,13.40
72,,Ukraine,10.48
73,,United Arab Emirates,52.00
74,,United Kingdom,16.66
75,,United States,19.66
76,,Uruguay,20.00
77,,Venezuela,8.33
78,,Vietnam,4.33
