,Rank,City,Oranges (1kg)
0,,Argentina,-
1,,Australia,-
2,,Austria,-
3,,Belgium,-
4,,Bosnia And Herzegovina,-
5,,Brazil,-
6,,Bulgaria,-
7,,Canada,-
8,,Chile,-
9,,China,-
10,,Colombia,-
11,,Croatia,-
12,,Czech Republic,-
13,,Denmark,-
14,,Ecuador,-
15,,Egypt,-
16,,Estonia,-
17,,Finland,-
18,,France,-
19,,Germany,-
20,,Greece,-
21,,Hong Kong,-
22,,Hungary,-
23,,India,-
24,,Indonesia,-
25,,Iran,-
26,,Ireland,-
27,,Israel,-
28,,Italy,-
29,,Japan,-
30,,Jordan,-
31,,Kazakhstan,-
32,,Lithuania,-
33,,Malaysia,-
34,,Malta,-
35,,Mexico,-
36,,Morocco,-
37,,Netherlands,-
38,,New Zealand,-
39,,Norway,-
40,,Pakistan,-
41,,Panama,-
42,,Philippines,-
43,,Poland,-
44,,Portugal,-
45,,Puerto Rico,-
46,,Qatar,-
47,,Romania,-
48,,Russia,-
49,,Saudi Arabia,-
50,,Serbia,-
51,,Singapore,-
52,,Slovakia,-
53,,Slovenia,-
54,,South Africa,-
55,,South Korea,-
56,,Spain,-
57,,Sweden,-
58,,Switzerland,-
59,,Syria,-
60,,Taiwan,-
61,,Thailand,-
62,,Turkey,-
63,,Ukraine,-
64,,United Arab Emirates,-
65,,United Kingdom,-
66,,United States,-
67,,Vietnam,-
