,Rank,City,1 Pair of Men Leather Business Shoes
0,,Argentina,101.67
1,,Australia,147.71
2,,Austria,119.57
3,,Bangladesh,32.50
4,,Belgium,139.13
5,,Bosnia And Herzegovina,94.20
6,,Brazil,112.61
7,,Bulgaria,65.84
8,,Canada,112.56
9,,Chile,81.62
10,,China,83.35
11,,Colombia,81.29
12,,Costa Rica,72.50
13,,Croatia,103.97
14,,Cyprus,157.25
15,,Czech Republic,96.21
16,,Denmark,152.80
17,,Ecuador,75.00
18,,Egypt,62.50
19,,Estonia,137.68
20,,Finland,114.13
21,,France,143.04
22,,Germany,136.88
23,,Greece,125.28
24,,Hong Kong,100.88
25,,Hungary,106.29
26,,Iceland,182.88
27,,India,48.89
28,,Indonesia,53.60
29,,Iran,81.50
30,,Ireland,98.81
31,,Israel,97.77
32,,Italy,155.26
33,,Japan,178.09
34,,Jordan,52.57
35,,Latvia,124.21
36,,Lebanon,106.67
37,,Lithuania,124.72
38,,Macedonia,72.46
39,,Malaysia,79.17
40,,Malta,142.51
41,,Mexico,70.04
42,,Morocco,144.93
43,,Netherlands,150.20
44,,New Zealand,135.40
45,,Norway,148.55
46,,Pakistan,36.67
47,,Panama,51.33
48,,Peru,70.00
49,,Philippines,69.27
50,,Poland,103.06
51,,Portugal,114.13
52,,Puerto Rico,77.00
53,,Qatar,125.00
54,,Romania,79.84
55,,Russia,124.35
56,,Saudi Arabia,96.39
57,,Serbia,131.23
58,,Singapore,101.63
59,,Slovakia,109.50
60,,Slovenia,126.81
61,,South Africa,105.06
62,,South Korea,90.43
63,,Spain,126.03
64,,Sri Lanka,33.69
65,,Sweden,153.31
66,,Switzerland,169.12
67,,Syria,47.50
68,,Taiwan,113.33
69,,Thailand,67.80
70,,Tunisia,85.00
71,,Turkey,74.12
72,,Ukraine,96.95
73,,United Arab Emirates,128.83
74,,United Kingdom,93.22
75,,United States,80.64
76,,Uruguay,133.00
77,,Venezuela,136.00
78,,Vietnam,21.27
