,Rank,City,Water (1.5 liter bottle)
0,,Albania,0.44
1,,Algeria,0.30
2,,Argentina,1.48
3,,Armenia,0.46
4,,Australia,1.92
5,,Austria,0.76
6,,Azerbaijan,0.50
7,,Bahrain,0.58
8,,Bangladesh,0.38
9,,Belarus,0.61
10,,Belgium,0.94
11,,Bosnia And Herzegovina,0.60
12,,Brazil,0.86
13,,Bulgaria,0.49
14,,Cambodia,0.87
15,,Canada,1.75
16,,Chile,1.26
17,,China,0.59
18,,Colombia,1.04
19,,Costa Rica,2.42
20,,Croatia,0.91
21,,Cyprus,0.87
22,,Czech Republic,0.50
23,,Denmark,1.43
24,,Dominican Republic,0.97
25,,Ecuador,1.00
26,,Egypt,0.41
27,,Estonia,0.83
28,,Finland,1.66
29,,France,0.76
30,,Georgia,0.46
31,,Germany,0.52
32,,Greece,0.84
33,,Guatemala,1.07
34,,Hong Kong,1.50
35,,Hungary,0.35
36,,Iceland,1.98
37,,India,0.43
38,,Indonesia,0.42
39,,Iran,0.38
40,,Iraq,0.71
41,,Ireland,1.37
42,,Israel,1.15
43,,Italy,0.45
44,,Jamaica,1.03
45,,Japan,1.17
46,,Jordan,0.52
47,,Kazakhstan,0.73
48,,Kenya,0.83
49,,Kuwait,0.54
50,,Latvia,0.70
51,,Lebanon,0.73
52,,Lithuania,0.72
53,,Luxembourg,1.07
54,,Macedonia,0.39
55,,Malaysia,0.65
56,,Malta,0.78
57,,Mauritius,0.71
58,,Mexico,0.83
59,,Moldova,0.45
60,,Montenegro,0.70
61,,Morocco,0.62
62,,Nepal,0.31
63,,Netherlands,0.95
64,,New Zealand,1.90
65,,Nigeria,0.69
66,,Norway,2.59
67,,Oman,0.55
68,,Pakistan,0.49
69,,Panama,1.70
70,,Peru,0.78
71,,Philippines,0.75
72,,Poland,0.50
73,,Portugal,0.61
74,,Puerto Rico,1.42
75,,Qatar,0.51
76,,Romania,0.56
77,,Russia,0.68
78,,Saudi Arabia,0.54
79,,Serbia,0.44
80,,Singapore,1.15
81,,Slovakia,0.71
82,,Slovenia,0.63
83,,South Africa,1.07
84,,South Korea,1.17
85,,Spain,0.62
86,,Sri Lanka,0.59
87,,Sweden,1.61
88,,Switzerland,1.25
89,,Taiwan,1.00
90,,Tanzania,0.67
91,,Thailand,0.46
92,,Trinidad And Tobago,1.42
93,,Tunisia,0.31
94,,Turkey,0.45
95,,Ukraine,0.43
96,,United Arab Emirates,0.59
97,,United Kingdom,1.40
98,,United States,1.75
99,,Uruguay,1.24
100,,Venezuela,1.55
101,,Vietnam,0.52
102,,Zimbabwe,1.22
