,Rank,City,Oranges (1kg)
0,,Albania,0.80
1,,Algeria,1.05
2,,Argentina,1.36
3,,Armenia,1.50
4,,Australia,2.62
5,,Austria,2.38
6,,Azerbaijan,1.72
7,,Bahrain,1.53
8,,Bangladesh,2.01
9,,Belarus,1.30
10,,Belgium,2.25
11,,Bosnia And Herzegovina,1.14
12,,Brazil,1.06
13,,Bulgaria,1.16
14,,Cambodia,3.17
15,,Canada,3.01
16,,Chile,1.25
17,,China,2.08
18,,Colombia,1.08
19,,Costa Rica,2.08
20,,Croatia,1.43
21,,Cyprus,1.28
22,,Czech Republic,1.26
23,,Denmark,2.70
24,,Dominican Republic,1.83
25,,Ecuador,1.97
26,,Egypt,0.54
27,,Estonia,1.27
28,,Finland,1.92
29,,France,2.38
30,,Georgia,1.38
31,,Germany,2.47
32,,Greece,1.00
33,,Guatemala,-
34,,Hong Kong,3.20
35,,Hungary,1.21
36,,Iceland,2.63
37,,India,0.95
38,,Indonesia,2.18
39,,Iran,1.55
40,,Iraq,1.20
41,,Ireland,2.34
42,,Israel,1.47
43,,Italy,1.75
44,,Jamaica,2.47
45,,Japan,4.47
46,,Jordan,1.46
47,,Kazakhstan,2.16
48,,Kenya,2.00
49,,Kuwait,1.42
50,,Latvia,1.43
51,,Lebanon,1.80
52,,Lithuania,1.40
53,,Luxembourg,-
54,,Macedonia,0.88
55,,Malaysia,2.16
56,,Malta,2.56
57,,Mauritius,-
58,,Mexico,0.84
59,,Moldova,1.37
60,,Montenegro,1.06
61,,Morocco,0.53
62,,Nepal,0.92
63,,Netherlands,2.13
64,,New Zealand,2.56
65,,Nigeria,1.67
66,,Norway,2.91
67,,Oman,2.05
68,,Pakistan,0.84
69,,Panama,-
70,,Peru,1.22
71,,Philippines,2.01
72,,Poland,1.20
73,,Portugal,1.10
74,,Puerto Rico,3.44
75,,Qatar,1.61
76,,Romania,1.08
77,,Russia,1.46
78,,Saudi Arabia,1.26
79,,Serbia,1.06
80,,Singapore,2.89
81,,Slovakia,1.41
82,,Slovenia,1.33
83,,South Africa,1.25
84,,South Korea,5.38
85,,Spain,1.37
86,,Sri Lanka,1.51
87,,Sweden,2.46
88,,Switzerland,3.67
89,,Taiwan,1.66
90,,Tanzania,0.75
91,,Thailand,1.87
92,,Trinidad And Tobago,-
93,,Tunisia,0.84
94,,Turkey,0.96
95,,Ukraine,1.38
96,,United Arab Emirates,2.10
97,,United Kingdom,2.79
98,,United States,4.03
99,,Uruguay,1.24
100,,Venezuela,1.12
101,,Vietnam,2.22
102,,Zimbabwe,-
