,Rank,City,McMeal at McDonalds (or Equivalent Combo Meal)
0,,Albania,4.08
1,,Algeria,5.37
2,,Argentina,8.00
3,,Armenia,4.60
4,,Australia,8.33
5,,Austria,8.84
6,,Azerbaijan,8.92
7,,Bahrain,5.31
8,,Bangladesh,5.81
9,,Belarus,6.00
10,,Belgium,10.75
11,,Bosnia And Herzegovina,5.55
12,,Brazil,8.92
13,,Bulgaria,5.57
14,,Cambodia,3.50
15,,Canada,7.83
16,,Chile,6.37
17,,China,4.56
18,,Colombia,6.85
19,,Costa Rica,6.33
20,,Croatia,6.29
21,,Cyprus,8.12
22,,Czech Republic,5.94
23,,Denmark,11.85
24,,Dominican Republic,6.93
25,,Ecuador,6.00
26,,Egypt,4.90
27,,Estonia,6.80
28,,Finland,9.53
29,,France,10.89
30,,Georgia,8.47
31,,Germany,9.53
32,,Greece,8.16
33,,Hong Kong,4.10
34,,Hungary,6.70
35,,Iceland,13.26
36,,India,3.38
37,,Indonesia,3.41
38,,Iran,4.00
39,,Iraq,8.06
40,,Ireland,10.21
41,,Israel,12.94
42,,Italy,9.87
43,,Jamaica,5.85
44,,Japan,6.37
45,,Jordan,7.05
46,,Kazakhstan,7.08
47,,Kenya,6.84
48,,Kuwait,6.21
49,,Latvia,6.80
50,,Lebanon,8.00
51,,Lithuania,5.86
52,,Luxembourg,11.23
53,,Macedonia,4.42
54,,Malaysia,3.72
55,,Malta,9.87
56,,Mexico,6.10
57,,Morocco,6.07
58,,Nepal,7.37
59,,Netherlands,9.53
60,,New Zealand,8.47
61,,Nigeria,9.22
62,,Norway,16.68
63,,Oman,5.19
64,,Pakistan,5.58
65,,Panama,5.67
66,,Peru,5.42
67,,Philippines,2.85
68,,Poland,5.59
69,,Portugal,7.48
70,,Puerto Rico,6.00
71,,Qatar,5.49
72,,Romania,5.57
73,,Russia,7.16
74,,Saudi Arabia,5.33
75,,Serbia,5.29
76,,Singapore,5.57
77,,Slovakia,6.80
78,,Slovenia,6.80
79,,South Africa,4.72
80,,South Korea,5.86
81,,Spain,9.53
82,,Sri Lanka,4.03
83,,Sweden,10.46
84,,Switzerland,14.48
85,,Taiwan,4.16
86,,Thailand,4.56
87,,Trinidad And Tobago,6.20
88,,Tunisia,3.68
89,,Turkey,6.20
90,,Ukraine,3.82
91,,United Arab Emirates,5.99
92,,United Kingdom,8.37
93,,United States,6.50
94,,Uruguay,8.68
95,,Venezuela,14.66
96,,Vietnam,3.78
