,Rank,City,Loaf of Fresh White Bread (500g)
0,,Argentina,1.16
1,,Australia,2.85
2,,Austria,2.65
3,,Bangladesh,0.54
4,,Belgium,2.44
5,,Bosnia And Herzegovina,0.83
6,,Brazil,2.05
7,,Bulgaria,0.70
8,,Canada,2.57
9,,Chile,1.12
10,,China,1.51
11,,Colombia,1.69
12,,Costa Rica,1.20
13,,Croatia,1.10
14,,Cyprus,2.88
15,,Czech Republic,1.20
16,,Denmark,3.16
17,,Ecuador,0.80
18,,Egypt,1.15
19,,Estonia,1.05
20,,Finland,2.52
21,,France,1.78
22,,Germany,2.24
23,,Greece,1.17
24,,Hong Kong,2.11
25,,Hungary,0.99
26,,Iceland,2.61
27,,India,0.41
28,,Indonesia,1.23
29,,Iran,0.54
30,,Ireland,2.09
31,,Israel,2.00
32,,Italy,2.34
33,,Japan,2.90
34,,Jordan,1.45
35,,Latvia,1.10
36,,Lebanon,0.76
37,,Lithuania,1.33
38,,Macedonia,0.61
39,,Malaysia,1.01
40,,Malta,1.26
41,,Mexico,1.84
42,,Morocco,1.09
43,,Netherlands,1.75
44,,New Zealand,2.32
45,,Norway,4.19
46,,Pakistan,0.49
47,,Panama,1.38
48,,Peru,1.03
49,,Philippines,1.14
50,,Poland,0.92
51,,Portugal,1.59
52,,Puerto Rico,2.20
53,,Qatar,1.74
54,,Romania,0.73
55,,Russia,0.69
56,,Saudi Arabia,0.98
57,,Serbia,0.68
58,,Singapore,1.66
59,,Slovakia,1.16
60,,Slovenia,2.11
61,,South Africa,1.31
62,,South Korea,1.92
63,,Spain,1.20
64,,Sri Lanka,0.77
65,,Sweden,3.05
66,,Switzerland,3.11
67,,Syria,0.45
68,,Taiwan,1.30
69,,Thailand,1.35
70,,Tunisia,0.38
71,,Turkey,0.55
72,,Ukraine,0.50
73,,United Arab Emirates,1.53
74,,United Kingdom,1.83
75,,United States,2.34
76,,Uruguay,1.39
77,,Venezuela,2.23
78,,Vietnam,1.00
