,Rank,City,Domestic Beer (0.5 liter bottle)
0,,Albania,0.83
1,,Algeria,1.87
2,,Argentina,1.50
3,,Armenia,0.96
4,,Australia,4.58
5,,Austria,1.19
6,,Azerbaijan,1.59
7,,Bahrain,3.32
8,,Bangladesh,2.93
9,,Belarus,1.13
10,,Belgium,1.37
11,,Bosnia And Herzegovina,1.01
12,,Brazil,1.71
13,,Bulgaria,0.82
14,,Cambodia,0.81
15,,Canada,1.92
16,,Chile,1.48
17,,China,0.74
18,,Colombia,1.16
19,,Costa Rica,1.89
20,,Croatia,1.22
21,,Cyprus,1.58
22,,Czech Republic,0.77
23,,Denmark,2.18
24,,Dominican Republic,1.96
25,,Ecuador,1.07
26,,Egypt,1.54
27,,Estonia,1.33
28,,Finland,3.42
29,,France,1.76
30,,Georgia,0.97
31,,Germany,1.14
32,,Greece,1.38
33,,Hong Kong,1.78
34,,Hungary,0.99
35,,Iceland,2.92
36,,India,1.50
37,,Indonesia,2.04
38,,Iran,7.97
39,,Iraq,1.57
40,,Ireland,3.29
41,,Israel,2.67
42,,Italy,1.57
43,,Jamaica,-
44,,Japan,2.71
45,,Jordan,5.46
46,,Kazakhstan,0.92
47,,Kenya,1.53
48,,Kuwait,-
49,,Latvia,1.27
50,,Lebanon,1.32
51,,Lithuania,1.08
52,,Luxembourg,-
53,,Macedonia,0.96
54,,Malaysia,2.63
55,,Malta,1.72
56,,Mexico,1.32
57,,Morocco,2.46
58,,Nepal,1.72
59,,Netherlands,1.28
60,,New Zealand,3.34
61,,Nigeria,1.57
62,,Norway,4.91
63,,Oman,-
64,,Pakistan,3.54
65,,Panama,0.70
66,,Peru,1.55
67,,Philippines,0.88
68,,Poland,0.93
69,,Portugal,1.21
70,,Puerto Rico,1.55
71,,Qatar,5.13
72,,Romania,0.94
73,,Russia,1.33
74,,Saudi Arabia,0.68
75,,Serbia,0.77
76,,Singapore,4.62
77,,Slovakia,0.89
78,,Slovenia,1.49
79,,South Africa,1.27
80,,South Korea,2.12
81,,Spain,1.10
82,,Sri Lanka,1.29
83,,Sweden,2.32
84,,Switzerland,1.92
85,,Taiwan,1.66
86,,Thailand,1.44
87,,Trinidad And Tobago,1.55
88,,Tunisia,0.95
89,,Turkey,2.31
90,,Ukraine,0.65
91,,United Arab Emirates,6.34
92,,United Kingdom,1.88
93,,United States,1.73
94,,Uruguay,1.92
95,,Venezuela,4.19
96,,Vietnam,0.74
