,Rank,City,"Fitness Club, Monthly Fee for 1 Adult"
0,,Algeria,21.73
1,,Argentina,45.41
2,,Australia,67.06
3,,Austria,41.40
4,,Azerbaijan,60.59
5,,Bahrain,64.86
6,,Bangladesh,30.12
7,,Belarus,43.04
8,,Belgium,55.35
9,,Bosnia And Herzegovina,27.34
10,,Brazil,53.82
11,,Bulgaria,29.49
12,,Canada,48.91
13,,Chile,54.63
14,,China,38.77
15,,Colombia,49.94
16,,Costa Rica,38.47
17,,Croatia,41.31
18,,Cyprus,69.57
19,,Czech Republic,43.02
20,,Denmark,42.13
21,,Dominican Republic,55.26
22,,Ecuador,38.33
23,,Egypt,36.58
24,,Estonia,56.28
25,,Ethiopia,58.33
26,,Finland,76.77
27,,France,69.86
28,,Georgia,69.08
29,,Germany,43.60
30,,Ghana,44.00
31,,Greece,43.93
32,,Hong Kong,59.60
33,,Hungary,43.81
34,,Iceland,44.62
35,,India,20.83
36,,Indonesia,38.56
37,,Iran,28.18
38,,Iraq,35.00
39,,Ireland,58.33
40,,Israel,74.41
41,,Italy,71.23
42,,Jamaica,-
43,,Japan,91.46
44,,Jordan,63.70
45,,Kazakhstan,105.77
46,,Kenya,44.52
47,,Kuwait,137.93
48,,Latvia,60.56
49,,Lebanon,66.22
50,,Lithuania,56.05
51,,Luxembourg,85.26
52,,Macedonia,18.77
53,,Malaysia,47.22
54,,Malta,72.08
55,,Mexico,42.09
56,,Moldova,40.75
57,,Morocco,30.26
58,,Nepal,17.61
59,,Netherlands,43.95
60,,New Zealand,63.15
61,,Nigeria,85.96
62,,Norway,72.63
63,,Oman,38.93
64,,Pakistan,18.22
65,,Panama,48.00
66,,Peru,69.86
67,,Philippines,31.03
68,,Poland,38.01
69,,Portugal,56.29
70,,Puerto Rico,33.75
71,,Qatar,114.47
72,,Romania,33.86
73,,Russia,70.43
74,,Saudi Arabia,75.49
75,,Serbia,29.91
76,,Singapore,102.07
77,,Slovakia,40.54
78,,Slovenia,59.13
79,,South Africa,38.21
80,,South Korea,59.69
81,,Spain,55.96
82,,Sri Lanka,14.29
83,,Sweden,50.35
84,,Switzerland,104.04
85,,Syria,20.39
86,,Taiwan,48.54
87,,Tanzania,84.66
88,,Thailand,49.78
89,,Trinidad And Tobago,48.18
90,,Tunisia,28.70
91,,Turkey,54.84
92,,Ukraine,39.96
93,,United Arab Emirates,88.13
94,,United Kingdom,54.11
95,,United States,40.91
96,,Uruguay,55.60
97,,Venezuela,81.30
98,,Vietnam,54.22
