,Rank,City,"Meal for 2 People, Mid-range Restaurant, Three-course"
0,,Argentina,40.00
1,,Australia,79.79
2,,Austria,54.35
3,,Bangladesh,15.92
4,,Belgium,79.71
5,,Bosnia And Herzegovina,28.99
6,,Brazil,37.97
7,,Bulgaria,22.06
8,,Canada,56.70
9,,Chile,40.00
10,,China,15.46
11,,Colombia,25.00
12,,Costa Rica,40.00
13,,Croatia,34.42
14,,Cyprus,56.52
15,,Czech Republic,29.39
16,,Denmark,116.05
17,,Ecuador,13.50
18,,Egypt,27.00
19,,Estonia,32.61
20,,Finland,79.71
21,,France,65.22
22,,Germany,57.97
23,,Greece,57.97
24,,Hong Kong,38.56
25,,Hungary,43.33
26,,Iceland,88.41
27,,India,11.12
28,,Indonesia,14.05
29,,Iran,20.00
30,,Ireland,82.59
31,,Israel,58.48
32,,Italy,72.46
33,,Japan,49.13
34,,Jordan,29.42
35,,Latvia,41.34
36,,Lebanon,40.00
37,,Lithuania,29.38
38,,Macedonia,21.74
39,,Malaysia,16.67
40,,Malta,34.06
41,,Mexico,25.93
42,,Morocco,30.28
43,,Netherlands,72.46
44,,New Zealand,61.98
45,,Norway,125.93
46,,Pakistan,15.00
47,,Panama,25.00
48,,Peru,18.86
49,,Philippines,13.92
50,,Poland,29.20
51,,Portugal,43.48
52,,Puerto Rico,40.00
53,,Qatar,35.00
54,,Romania,26.05
55,,Russia,42.90
56,,Saudi Arabia,32.00
57,,Serbia,28.99
58,,Singapore,40.65
59,,Slovakia,27.54
60,,Slovenia,43.48
61,,South Africa,44.12
62,,South Korea,32.61
63,,Spain,57.97
64,,Sri Lanka,17.69
65,,Sweden,81.30
66,,Switzerland,94.12
67,,Syria,28.00
68,,Taiwan,22.00
69,,Thailand,16.57
70,,Tunisia,28.38
71,,Turkey,29.87
72,,Ukraine,35.18
73,,United Arab Emirates,45.35
74,,United Kingdom,65.57
75,,United States,40.00
76,,Uruguay,40.00
77,,Venezuela,50.00
78,,Vietnam,15.00
