,Rank,City,Price per Square Meter to Buy Apartment in City Centre
0,,Albania,1273.61
1,,Algeria,1724.17
2,,Argentina,3095.44
3,,Armenia,1250.01
4,,Australia,7247.45
5,,Austria,4845.17
6,,Azerbaijan,2139.72
7,,Bahrain,-
8,,Bangladesh,867.37
9,,Belarus,1987.43
10,,Belgium,2998.69
11,,Bosnia And Herzegovina,1197.48
12,,Brazil,2369.41
13,,Bulgaria,1063.50
14,,Cambodia,1557.55
15,,Canada,3945.31
16,,Chile,2066.86
17,,China,9405.05
18,,Colombia,1464.17
19,,Costa Rica,1595.04
20,,Croatia,2081.39
21,,Cyprus,1748.63
22,,Czech Republic,2454.70
23,,Denmark,4840.24
24,,Dominican Republic,1252.88
25,,Ecuador,1151.92
26,,Egypt,970.40
27,,Estonia,2385.25
28,,Finland,5339.33
29,,France,8161.02
30,,Georgia,1019.15
31,,Germany,4453.49
32,,Greece,1343.19
33,,Guatemala,-
34,,Hong Kong,27001.01
35,,Hungary,1378.67
36,,Iceland,2839.48
37,,India,1649.90
38,,Indonesia,2243.97
39,,Iran,1806.38
40,,Iraq,1346.79
41,,Ireland,5742.56
42,,Israel,5876.77
43,,Italy,5130.80
44,,Jamaica,1608.46
45,,Japan,14342.38
46,,Jordan,1237.10
47,,Kazakhstan,2074.57
48,,Kenya,4399.29
49,,Kuwait,-
50,,Latvia,2061.60
51,,Lebanon,4395.88
52,,Lithuania,2268.63
53,,Luxembourg,7085.61
54,,Macedonia,1200.28
55,,Malaysia,2561.38
56,,Malta,2818.89
57,,Mauritius,-
58,,Mexico,1050.04
59,,Moldova,871.42
60,,Montenegro,1666.67
61,,Morocco,1550.62
62,,Nepal,-
63,,Netherlands,3656.56
64,,New Zealand,4013.99
65,,Nigeria,-
66,,Norway,6178.09
67,,Oman,-
68,,Pakistan,769.02
69,,Panama,1955.56
70,,Peru,1791.25
71,,Philippines,1675.05
72,,Poland,2182.43
73,,Portugal,1809.75
74,,Puerto Rico,1358.91
75,,Qatar,5151.81
76,,Romania,1249.49
77,,Russia,1985.60
78,,Saudi Arabia,1270.06
79,,Serbia,1685.83
80,,Singapore,18832.39
81,,Slovakia,1838.05
82,,Slovenia,2414.42
83,,South Africa,1140.96
84,,South Korea,11750.20
85,,Spain,2889.44
86,,Sri Lanka,809.42
87,,Sweden,8103.53
88,,Switzerland,13162.53
89,,Taiwan,9804.29
90,,Tanzania,-
91,,Thailand,2719.37
92,,Trinidad And Tobago,-
93,,Tunisia,1003.10
94,,Turkey,1533.10
95,,Ukraine,1382.31
96,,United Arab Emirates,4173.35
97,,United Kingdom,6841.39
98,,United States,2432.92
99,,Uruguay,2292.43
100,,Venezuela,-
101,,Vietnam,2726.01
102,,Zimbabwe,-
