,Rank,City,1 Pair of Men Leather Business Shoes
0,,Albania,91.31
1,,Argentina,117.52
2,,Australia,133.15
3,,Austria,119.34
4,,Bahrain,87.05
5,,Bangladesh,35.48
6,,Belarus,116.17
7,,Belgium,128.60
8,,Bosnia And Herzegovina,94.07
9,,Brazil,102.37
10,,Bulgaria,62.73
11,,Cambodia,21.00
12,,Canada,102.36
13,,Chile,95.32
14,,China,124.84
15,,Colombia,84.27
16,,Costa Rica,95.00
17,,Croatia,90.21
18,,Cyprus,108.02
19,,Czech Republic,80.22
20,,Denmark,143.49
21,,Dominican Republic,78.45
22,,Ecuador,63.50
23,,Egypt,59.40
24,,Estonia,125.93
25,,Finland,101.48
26,,France,119.68
27,,Georgia,145.00
28,,Germany,109.40
29,,Greece,112.95
30,,Hong Kong,121.89
31,,Hungary,78.65
32,,Iceland,108.02
33,,India,40.91
34,,Indonesia,59.28
35,,Iran,68.99
36,,Iraq,78.75
37,,Ireland,109.99
38,,Israel,108.58
39,,Italy,127.91
40,,Japan,125.91
41,,Jordan,95.53
42,,Kazakhstan,152.57
43,,Kenya,46.89
44,,Kuwait,113.09
45,,Latvia,115.11
46,,Lebanon,101.18
47,,Lithuania,90.63
48,,Luxembourg,144.03
49,,Macedonia,67.11
50,,Malaysia,67.97
51,,Malta,78.19
52,,Mauritius,87.13
53,,Mexico,61.84
54,,Morocco,92.32
55,,Nepal,47.04
56,,Netherlands,142.83
57,,New Zealand,121.00
58,,Nigeria,250.00
59,,Norway,179.19
60,,Oman,210.53
61,,Pakistan,31.77
62,,Peru,41.41
63,,Philippines,57.89
64,,Poland,79.07
65,,Portugal,92.36
66,,Puerto Rico,87.00
67,,Qatar,102.40
68,,Romania,71.55
69,,Russia,114.29
70,,Saudi Arabia,75.69
71,,Serbia,88.47
72,,Singapore,90.40
73,,Slovakia,80.69
74,,Slovenia,94.32
75,,South Africa,83.08
76,,South Korea,115.99
77,,Spain,107.41
78,,Sri Lanka,22.80
79,,Sweden,155.89
80,,Switzerland,148.04
81,,Taiwan,97.22
82,,Tanzania,39.74
83,,Thailand,71.80
84,,Tunisia,77.58
85,,Turkey,71.02
86,,Ukraine,107.34
87,,United Arab Emirates,87.94
88,,United Kingdom,87.06
89,,United States,81.23
90,,Uruguay,130.44
91,,Venezuela,257.83
92,,Vietnam,31.19
